run_number,deaths,life_years_lost,vaccine_n
1,162146.76,2531260.34,0
2,108457.08,1874008.8,0
3,124987.59,3011225.52,0
4,136696.91,4048090.27,0
5,122506.32,2345849.21,1934954
6,85201.77,1767329.34,837323
7,103464.92,2734079.06,455540
8,125974.61,3998513.59,157009
9,109293.18,2220213.66,3489197
10,76999.09,1686772.36,1544521
11,94157.99,2578654.94,858687
12,121139.92,3950132.34,349702
13,92644.34,1983758.23,6018957
14,69210.69,1570607.25,2535437
15,86076.62,2427963.55,1360524
16,114058.06,3844656.06,669732
17,82924.34,1804074.38,8512844
18,61883.41,1429240.98,3905163
19,77506.83,2259050.4,2260507
20,104632.4,3658531.14,1221881
21,67447.74,1460822.82,11240340
22,51714.36,1193486.89,5936443
23,64877.79,1949691.69,3461315
24,91312.44,3322923.59,1981289
25,56938.27,1209717.35,13793900
26,44736.85,1013649.02,8149617
27,55742.25,1693227.89,4869310
28,79655.37,2975729.07,2961281
29,47835.04,988623.74,16057465
30,38188.06,836705.81,10253980
31,46526.42,1404904.07,6520984
32,70195.42,2652521.91,4198285
33,38316.7,772281.22,18623047
34,33041.91,694528.96,12494115
35,39398.23,1165427.21,8583672
36,62162.24,2345555.46,5746873
37,29068.05,558635.11,21440910
38,29050.31,587402.86,14826031
39,34086.41,982812.75,11126095
40,54259.37,2019408.37,7642734
41,20767.77,377183.57,24380851
42,23568.17,456946.11,17980054
43,27920.21,786891.41,14183825
44,46622.75,1693419.83,9867177
45,14040.51,244444.67,27360810
46,20589.05,382328.53,21299932
47,24401.27,672454.59,17498001
48,39927.22,1407098.38,12508798
49,12446.21,213099.9,30093085
50,17908.02,323240.19,24708001
51,21394.39,581795.49,21007501
52,34220.72,1170696.01,15719003
53,11129.17,188571.06,32362541
54,15940.7,279679.68,27800617
55,19033.48,508982.11,24537908
56,27450.88,911267.32,19583239
57,8363.84,136376.09,34224351
58,11309.62,196313.84,30471471
59,13551.15,357177.54,28178856
60,9827.61,316716.19,23933431
61,4471.33,77691.38,36069292
62,1276.77,22679.78,33536944
63,1542.17,39761.69,32025744
64,759.6,21793.59,28743599
65,415.83,7319.64,38010540
66,492.44,8942.12,36778424
67,519.44,12125.08,36011965
68,753.8,21516.84,34020655
69,416.79,7331.15,39974437
70,492.02,8946.42,39982130
71,521.94,12185.72,39978364
72,766.9,21845.9,39956511
