t_start,R0,reduction1,reduction2,coverage,age_target,income_group,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,run_number,directory_out
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,1,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,2,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,3,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,4,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,5,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,6,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,7,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,8,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,9,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,10,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,11,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,12,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,13,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,14,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,15,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,16,default_immunosenescence
