t_start,R0,reduction1,reduction2,coverage,age_target,income_group,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,run_number,directory_out
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,17,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,18,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,19,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,20,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,21,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,22,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,23,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,24,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,25,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,26,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,27,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,28,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,29,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,30,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,31,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,32,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,33,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,34,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,35,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,36,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,37,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,38,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,39,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,40,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,41,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,42,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,43,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,44,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,45,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,46,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,47,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,48,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,49,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,50,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,51,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,52,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,53,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,54,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,55,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,56,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,57,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,58,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,59,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,60,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,61,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,62,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,63,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,64,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,65,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,66,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,67,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,68,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,HIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,69,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,UMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,70,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,LMIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,71,default_immunosenescence
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,LIC,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,72,default_immunosenescence
