income_group,age_target,pop_2019,proportion,deaths,life_years_lost,vaccine_n,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,deaths_averted_2021,additional_life_years_2021,vaccine_n_2021,dapd_2021
HIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,95.091260342,415.83,7319.64,38010540,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,3921205,61193537.71958994,922204016.368772,0.004251992975957701
HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,416.79,7331.15,39974437,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,3921181,61193258.6569245,969809436.8000001,0.004043248963361706
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,2855862789,0,108457.08,1874008.8,0,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,0,0,0,NA
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,2855862789,2.108088412,85201.77,1767329.34,837323,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,1328279,6093238.0032922765,48163290.014023215,0.027578660004606383
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,2855862789,3.8811223,76999.09,1686772.36,1544521,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,1796794,10694431.63481662,88671622.04902476,0.020263461505267026
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,2855862789,6.363369743,69210.69,1570607.25,2535437,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,2241646,17329463.93539846,145383286.89345756,0.015418869994614745
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2855862789,9.792123998,61883.41,1429240.98,3905163,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,2660160,25403917.337653004,223719700.4092969,0.011890593430677839
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,2855862789,14.873932404,51714.36,1193486.89,5936443,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,3240988,38869543.99736415,339823280.62947935,0.00953727476821624
UMIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,2855862789,20.408997593,44736.85,1013649.02,8149617,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,3639525,49141389.617084526,466282374.2931141,0.007805409770243909
UMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,2855862789,25.667665018,38188.06,836705.81,10253980,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,4013574,59247900.20118879,586426635.2433857,0.0068441195518587575
UMIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,2855862789,31.275606788,33041.91,694528.96,12494115,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,4307508,67368651.70863348,714550733.0339601,0.006028274551913838
UMIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,2855862789,37.106621994,29050.31,587402.86,14826031,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,4535497,73487400.56304733,847771367.8252287,0.005349905849775066
UMIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,2855862789,44.985291374,23568.17,456946.11,17980054,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,4848622,80938732.12102485,1027774557.4986343,0.004717592943534645
UMIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,2855862789,53.290555374,20589.05,382328.53,21299932,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,5018781,85200683.52356946,1217524112.7820046,0.004122120414134749
UMIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,61.813560378,17908.02,323240.19,24708001,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,5171914,88575647.35296507,1412248375.51308,0.003662184421434372
UMIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,69.544699119,15940.7,279679.68,27800617,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,5284282,91063704.14454232,1588880947.0892258,0.003325788511518512
UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,76.222682393,11309.62,196313.84,30471471,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,5548796,95825332.15113688,1741452178.5914736,0.003186303975621078
UMIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,83.886276986,1276.77,22679.78,33536944,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,6121845,105742833.16827674,1916541575.6165159,0.003194214557036529
UMIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,91.990686019,492.44,8942.12,36778424,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,6166644,106527490.60831541,2101702217.0899572,0.0029341188061068
