income_group,age_target,vaccine_n_2021,relative_constraint,strategy,pop_2019,deaths_averted_2021
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,47093652.28237152,3.8847757504000007,Target older groups first,1212261796,1222736.465274518
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,84863459.87176223,7.000423518399999,Target older groups first,1212261796,1618243.4224332161
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,146297602.5993484,12.0681525296,Target older groups first,1212261796,2118173.398437558
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,206807048.3702348,17.0596028888,Target older groups first,1212261796,2401639.9685292672
HIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,272987675.9975493,22.5188714928,Target older groups first,1212261796,2723713.682490547
HIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,334874283.2790822,27.62392450080001,Target older groups first,1212261796,2937697.770578002
HIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,389864100.846528,32.1600583416,Target older groups first,1212261796,3117098.454149168
HIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,452007690.4146954,37.28630992960001,Target older groups first,1212261796,3291812.7760693575
HIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,520433069.3388586,42.930749039199995,Target older groups first,1212261796,3456551.880574982
HIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,591654503.4548309,48.8058359512,Target older groups first,1212261796,3597186.3715289417
HIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,663976348.9169142,54.77169627120001,Target older groups first,1212261796,3707926.7290459014
HIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,730225065.8658828,60.23658159280001,Target older groups first,1212261796,3733600.9791710265
HIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,785245633.4526879,64.77525201600001,Target older groups first,1212261796,3754628.6298320824
HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,830408623.9050404,68.5007666368,Target older groups first,1212261796,3798395.8872625073
HIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,875138917.6716492,72.19058792080001,Target older groups first,1212261796,3857579.4779526643
HIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,922204016.368772,76.07300827360001,Target older groups first,1212261796,3921397.545488929
HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,969809436.8000001,80,Target older groups first,1212261796,3921365.541777515
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,48163290.014023215,1.6864707296,Target older groups first,2855862789,1694302.2862104925
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,88671622.04902476,3.10489784,Target older groups first,2855862789,2296987.576369434
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,145383286.89345756,5.0906957944,Target older groups first,2855862789,2877621.6075893915
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,223719700.4092969,7.8336991984,Target older groups first,2855862789,3414777.4125370537
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,339823280.62947935,11.8991459232,Target older groups first,2855862789,3936634.931696602
UMIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,466282374.2931141,16.3271980744,Target older groups first,2855862789,4284055.7805314725
UMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,586426635.2433857,20.534132014399997,Target older groups first,2855862789,4596845.866014371
UMIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,714550733.0339601,25.0204854304,Target older groups first,2855862789,4837300.374087245
UMIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,847771367.8252287,29.685297595199998,Target older groups first,2855862789,5016996.401324146
UMIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,1027774557.4986343,35.9882330992,Target older groups first,2855862789,5246635.185842521
UMIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,1217524112.7820046,42.6324442992,Target older groups first,2855862789,5373978.678776588
UMIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,1412248375.51308,49.450848302400004,Target older groups first,2855862789,5482517.4575902065
UMIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,1588880947.0892258,55.63575929520002,Target older groups first,2855862789,5563817.017122343
UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1741452178.5914736,60.9781459144,Target older groups first,2855862789,5745417.333666948
UMIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1916541575.6165159,67.1090215888,Target older groups first,2855862789,6140311.189643365
UMIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2101702217.0899572,73.5925488152,Target older groups first,2855862789,6167164.296275775
UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2284690231.245694,80.00000000160001,Target older groups first,2855862789,6167099.753776743
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,26803516.31404628,0.920019672,Target older groups first,2913363391,1609597.7304941297
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,50407878.31040552,1.730229688,Target older groups first,2913363391,2254730.0064337784
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,79754041.5437201,2.7375246695999995,Target older groups first,2913363391,2779189.022700173
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,132324594.61608976,4.5419872792,Target older groups first,2913363391,3430138.1199862924
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,202454082.53978306,6.949153104800001,Target older groups first,2913363391,4118951.6185925617
LMIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,284576968.92578584,9.7679873992,Target older groups first,2913363391,4606467.43904304
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,380942477.75679195,13.075693850400002,Target older groups first,2913363391,5091493.499139572
LMIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,501211400.7214757,17.2038751592,Target older groups first,2913363391,5461173.093186953
LMIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,649398776.781652,22.290345886399997,Target older groups first,2913363391,5729790.441891256
LMIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,827561029.2409905,28.405691916000002,Target older groups first,2913363391,6021918.050488252
LMIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,1020734292.2494032,35.036284708,Target older groups first,2913363391,6188157.478942104
LMIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,1225247260.8871183,42.05610823119999,Target older groups first,2913363391,6325365.241204639
LMIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,1430963474.639132,49.117232648000005,Target older groups first,2913363391,6435264.883057976
LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1643121975.319024,56.39948591359999,Target older groups first,2913363391,6679767.1576296175
LMIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1867284429.227188,64.093769936,Target older groups first,2913363391,7212898.0913656615
LMIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2099561399.3265188,72.06658138880002,Target older groups first,2913363391,7252920.712285862
LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2330690712.823307,80.00000000080001,Target older groups first,2913363391,7252707.4540856425
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,2167284.187205835,0.32592805599999997,Target older groups first,664957848,188503.58066673606
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,4763449.206008064,0.7163535584,Target older groups first,664957848,275071.1181086161
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,9080535.769440196,1.3655806599999998,Target older groups first,664957848,406769.07871111686
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,16494612.574161176,2.4805501016000004,Target older groups first,664957848,579255.5537099376
LIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,26662402.06798126,4.0096379264,Target older groups first,664957848,750336.7067927954
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,39750673.0885031,5.977923744800001,Target older groups first,664957848,899367.9906275425
LIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,56242500.10104238,8.458054938400004,Target older groups first,664957848,1019588.9117651327
