pop_2019,income_group,target_group,proportion,t_start,R0,reduction1,reduction2,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,vaccine_start,vaccine_period,dur_vacc_delay,reduce_inf,seeding_cases,timing1,timing2,strategy,age_target,coverage_children,coverage_middle,coverage_old,deaths_averted_2021,vaccine_n_2021,dapd_2021
1212261796,HIC,old,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212261796,HIC,middle,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212261796,HIC,children,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212261796,HIC,old_middle,85.6,60,2.5,0.5599999999999999,0.19999999999999996,1,Combined,Present,0.9,365,5000,327,30,7,1,60,60,357,strategy2_cov1,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,0.8,2401639.9685292672,206396759.71341366,0.011636035235553097
1212261796,HIC,old_middle,85.6,60,2.5,0.5599999999999999,0.19999999999999996,1,Combined,Present,0.9,365,5000,327,30,7,1,60,60,357,strategy3_cov1,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.12,0.8,2713254.0452623,299902221.55998945,0.009047128864697548
1212261796,HIC,middle_children,78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212261796,HIC,all,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Combined,Present,0.9,365,5000,327,30,7,1,60,60,357,strategy1_cov1,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,3921365.541777515,969178478.7804179,0.004046071624198704
1212261796,HIC,all,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Combined,Present,0.9,365,5000,327,30,7,1,60,60,357,strategy4_cov1,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,3921365.541777515,969178478.7804179,0.004046071624198704
1212261796,HIC,all,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Combined,Present,0.9,365,5000,327,30,7,1,60,60,357,strategy5_cov1,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,3921365.541777515,969178478.7804179,0.004046071624198704
1212261796,HIC,all,100,60,2.5,0.5599999999999999,0.19999999999999996,1,Combined,Present,0.9,365,5000,327,30,7,1,60,60,357,strategy6_cov1,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.8,0.8,0.8,3921365.541777515,969178478.7804179,0.004046071624198704
2855862789,UMIC,old,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2855862789,UMIC,middle,66.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2855862789,UMIC,children,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
