pop_2019,income_group,target_group,proportion,t_start,R0,reduction1,reduction2,coverage,age_target,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,vaccine_start,seeding_cases,timing1,timing2,deaths_averted_2021,vaccine_n_2021,dapd_2021
1212261796,HIC,old,21.3,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2453263.16730249,206807037.5956519,0.011862571002535698
1212261796,HIC,middle,64.3,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,4249919.037490774,623601578.5897053,0.006815119113556607
1212261796,HIC,children,14.4,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5130796.948936213,134792843.8113952,0.0380643126434466
1212261796,HIC,old_middle,85.6,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,4776207.221725544,830408616.1853573,0.0057516349525200934
1212261796,HIC,middle_children,78.7,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5128642.759724721,763002399.2043481,0.006721660069578842
1212261796,HIC,all,100,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5129612.569161522,969809436.8000001,0.0052892995000000005
2855862789,UMIC,old,9.8,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,3299629.0248845736,223719723.30189303,0.014748941113394688
2855862789,UMIC,middle,66.4,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5547508.32707948,1517732457.734199,0.0036551292678824797
2855862789,UMIC,children,23.8,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,8237799.043851857,525281013.23648965,0.015682651449926047
2855862789,UMIC,old_middle,76.2,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,6916534.6956935655,1741452181.036092,0.003971705207304925
2855862789,UMIC,middle_children,90.2,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,8231052.924771681,2060970507.898107,0.003993775210867122
2855862789,UMIC,all,100,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,8233736.864620782,2284690231.2000003,0.003603874499999999
2913363391,LMIC,old,5.7,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5283209.125102363,132324615.61561309,0.03992612485986313
