income_group,age_target,pop_2019,proportion,deaths,life_years_lost,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,deaths_averted_2021,additional_life_years_2021,vaccine_n_2021,dapd_2021,pop_age_target,relative_constraint,cost,y,strategy
HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,85.625958296,6450.25,127834.78,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,3774872.1895634867,58271198.82106255,830408624,0.004545800803238231,1038010780,68.50076664463325,830408624,58271198.82106255,Target older groups first
HIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,90.238234901,3550.3,73996.86,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,3845182.161469691,59576511.89290463,875138918,0.004393796326302103,1093923647,72.1905879478858,875138918,59576511.89290463,Target older groups first
HIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,95.091260342,418.19,7425.78,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,3921120.907347082,61190543.432953835,922204016,0.004251901789353192,1152755020,76.07300824317984,922204016,61190543.432953835,Target older groups first
HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,419.23,7435.67,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,3921095.692301725,61190303.64757058,969809437,0.004043161,1212261796,80.00000001649809,969809437,61190303.64757058,Target older groups first
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,664957848,0.40741007,123611.74,3983523.24,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,175356.5660623583,899007.8494570638,2167284,0.08091073939335859,2709105,0.3259280278469621,2167284,899007.8494570638,Target older groups first
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,664957848,0.895441948,117608.12,3917310.5,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,255199.65077055365,1779581.4714687373,4763450,0.0535745506530592,5954312,0.7163536778048524,4763450,1779581.4714687373,Target older groups first
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,664957848,1.706975825,108569.72,3770720.27,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,375402.7510378175,3729107.9490412376,9080536,0.041341475940351986,11350670,1.3655806946728448,9080536,3729107.9490412376,Target older groups first
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,664957848,3.100687627,96585.95,3521302.76,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,534776.7892403568,7046150.563103611,16494613,0.032421300399506504,20618266,2.480550165639973,16494613,7046150.563103611,Target older groups first
LIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,664957848,5.012047408,84559.86,3215481.74,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,694713.6477654432,11113312.309750905,26662402,0.026055928719180225,33328003,4.009637916176605,26662402,11113312.309750905,Target older groups first
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,664957848,7.472404681,74028.26,2897887.34,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,834775.0492053792,15337050.084967934,39750673,0.02100027457011331,49688341,5.977923731490421,39750673,15337050.084967934,Target older groups first
LIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,664957848,10.572568673000001,65275.29,2597635.57,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,951182.1711015502,19330145.501715753,56242500,0.016912160188339874,70303125,8.458054923204696,56242500,19330145.501715753,Target older groups first
