income_group,age_target,pop_2019,proportion,deaths,vaccine_n,t_start,R0,reduction1,reduction2,coverage,mode,efficacy,hs_constraints,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,timing1,timing2,immunosenescence,seeding_cases,reduce_inf,sensitivity_run,directory_out,deaths_cf,deaths_averted_2021,vaccine_n_2021,dapd_2021
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,0,162146.76,0,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,0,0,NA
HIC,1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,4.908739658,157413.39,1963964,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,114761.67234665029,47605420.43122804,0.0024106849872786613
HIC,0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,4.853025441,154600.92,1941826,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,182950.67101457273,47065098.69712281,0.0038871834135929878
HIC,1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,9.761765099,149416.53,3904926,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,308647.4296658619,94670519.12835087,0.0032602274975106964
HIC,0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,4.612276605,153853.49,1844939,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,201072.28769825885,44730293.766608655,0.004495215004564985
HIC,1_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,9.521016263,148728.88,3809284,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,325319.6661462497,92335714.1978367,0.0035232268356015107
HIC,0_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,9.465302046,145714.65,3786255,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,398400.3836133916,91795392.46373148,0.004340091293479684
HIC,1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,14.374041704,139979.81,5751077,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,537442.9323768442,139400812.89495954,0.0038553787543679175
HIC,0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,4.656893276,155140.37,1862830,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,169871.57849752915,45162990.45235267,0.003761300498396913
HIC,1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,9.565632934,149981.67,3827307,60,2.5,0.5599999999999999,0.19999999999999996,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,0.5,60,1,immunosenescence,sensitivity,162146.76,294945.4770380327,92768410.88358073,0.003179374037226671
