income_group,age_target,pop_2019,proportion,deaths,vaccine_n,t_start,R0,reduction1,reduction2,coverage,mode,efficacy,hs_constraints,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,timing1,timing2,immunosenescence,seeding_cases,reduce_inf,sensitivity_run,directory_out,deaths_cf,deaths_averted_2021,vaccine_n_2021,dapd_2021,pop_age_target,relative_constraint,cost,y,strategy
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,1212261796,4.855969688,60105.72,1933664,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,569868.9958009704,47093652,0.01210076025499276,58867065,3.8847757271070518,47093652,569869,Target older groups first
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,1212261796,8.750529398,52321.84,3489062,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,758591.00277394,84863460,0.008938959169473553,106079325,7.000423528978389,84863460,758591,Target older groups first
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,1212261796,15.085190662,42224.45,6021280,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,1003404.6055001889,146297602,0.006858653782920282,182872003,12.068152480159492,146297602,1003405,Target older groups first
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1212261796,21.324503611,36493.37,8512550,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,1142355.9921765823,206807048,0.0055237768788783635,258508810,17.059602858259172,206807048,1142356,Target older groups first
HIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,1212261796,28.148589366,29020.89,11241175,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,1323528.032684064,272987676,0.004848306898278975,341234595,22.51887149300216,272987676,1323528,Target older groups first
HIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,1212261796,34.529905626,23942.52,13793952,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,1446654.311423114,334874283,0.0043199922587590315,418592854,27.623924477778395,334874283,1446654,Target older groups first
HIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,1212261796,40.200072927,18813.19,16057974,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,1571016.127384648,389864101,0.004029650649991718,487330126,32.160058354259974,389864101,1571016,Target older groups first
HIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,1212261796,46.607887412000004,13132.11,18620455,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,1708755.2522650415,452007690,0.0037803676541373456,565009613,37.286309895391604,452007690,1708755,Target older groups first
HIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,1212261796,53.663436299,6376.8,21441266,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,1872539.3369277765,520433070,0.0035980406458540194,650541337,42.93074909373784,520433070,1872539,Target older groups first
HIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,1212261796,61.007294939,2270.74,24377830,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,1972091.7303294516,591654503,0.003333181305667199,739568129,48.80583591368081,591654503,1972092,Target older groups first
HIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,1212261796,68.464620339,913.1,27360258,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,2005008.0324238804,663976349,0.003019697969203982,829970436,54.77169627805378,663976349,2005008,Target older groups first
HIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,75.295726991,814.73,30092520,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,2007393.0362813312,730225066,0.0027490059299744994,912781332,60.23658160386339,730225066,2007393,Target older groups first
HIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,80.96906502,747.62,32364415,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,2009020.1340639226,785245634,0.0025584607522494028,981557042,64.77525206114801,785245634,2009020,Target older groups first
HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,85.625958296,506.19,34224515,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,2014873.6613720877,830408624,0.0024263640855474717,1038010780,68.50076664463325,830408624,2014874,Target older groups first
HIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,90.238234901,425.73,36069386,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,2016824.433054211,875138918,0.0023045763276304445,1093923647,72.1905879478858,875138918,2016824,Target older groups first
HIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,95.091260342,413.82,38010377,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,2017113.1938140183,922204016,0.002187274353625687,1152755020,76.07300824317984,922204016,2017113,Target older groups first
HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,415.22,39973998,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,2017079.25048373,969809437,0.0020798717499999997,1212261796,80.00000001649809,969809437,2017079,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,2855862789,2.108088412,43145.95,837326,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,858339.8423399904,48163290,0.017821453685785926,60204113,1.6864707291089676,48163290,858340,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,2855862789,3.8811223,37698.62,1544479,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,1169476.3832680574,88671622,0.01318884617472631,110839528,3.1048978382833643,88671622,1169476,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,2855862789,6.363369743,32411.47,2535681,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,1471463.8821652846,145383287,0.010121272627737668,181729109,5.090695798130658,145383287,1471464,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2855862789,9.792123998,27349.08,3905407,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,1760613.706653399,223719701,0.007869730307310186,279649626,7.833699219083876,223719701,1760614,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,2855862789,14.873932404,22510.24,5936242,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,2036994.9686118942,339823281,0.005994277275054906,424779101,11.899145936174037,339823281,2036995,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,2855862789,20.408997593,19106.94,8149135,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,2231382.125207968,466282374,0.0047854738849838615,582852968,16.327198064136404,466282374,2231382,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,2855862789,25.667665018,15773.98,10252157,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,2421751.6540324767,586426635,0.004129675407781185,733033294,20.53413200587768,586426635,2421752,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,2855862789,31.275606788,13113.26,12494122,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,2573724.6788314385,714550733,0.003601878159026559,893188416,25.020485429210865,714550733,2573725,Target older groups first
UMIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,2855862789,37.106621994,10967.13,14826776,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,2696305.7349785697,847771368,0.003180463315121564,1059714210,29.68529760131974,847771368,2696306,Target older groups first
UMIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,2855862789,44.985291374,7950.35,17977102,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,2868615.9298705584,1027774558,0.002791094514785525,1284718197,35.988233116755666,1027774558,2868616,Target older groups first
UMIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,2855862789,53.290555374,6395.61,21301713,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,2957418.4121219553,1217524113,0.002429042990667632,1521905141,42.63244430683326,1217524113,2957418,Target older groups first
UMIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,61.813560378,5092.85,24708126,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,3031828.4882619083,1412248375,0.0021468096836439435,1765310469,49.45084828443416,1412248375,3031828,Target older groups first
UMIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,69.544699119,3989.68,27800637,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,3094838.5313207307,1588880947,0.0019478102100666298,1986101184,55.635759292075704,1588880947,3094839,Target older groups first
UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,76.222682393,969.85,30471481,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,3267322.9338428485,1741452178,0.0018762059469732521,2176815223,60.97814589368915,1741452178,3267323,Target older groups first
UMIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,83.886276986,494.93,33536754,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,3294449.060957886,1916541576,0.0017189551757561651,2395676970,67.10902160222795,1916541576,3294449,Target older groups first
UMIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,91.990686019,490.23,36778695,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,3294717.5120600513,2101702217,0.0015676424020820408,2627127771,73.59254881205008,2101702217,3294718,Target older groups first
UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,100.000000002,491.63,39982089,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,58173.63,3294637.54790196,2284690231,0.0014420499999711588,2855862789,79.99999999299686,2284690231,3294638,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,2913363391,1.15002459,55286.81,455536,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,65994.89,623930.5651979856,26803516,0.023277937039589736,33504395,0.9200196612204907,26803516,623931,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,2913363391,2.16278711,50367.6,858865,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,65994.89,910559.4917308078,50407878,0.018063832921586073,63009848,1.7302296773454584,50407878,910559,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,2913363391,3.4219058369999997,45239.51,1360537,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,65994.89,1209359.2851658715,79754042,0.015163611294894904,99692552,2.7375246852616195,79754042,1209359,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2913363391,5.677484099,38844.96,2260246,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,65994.89,1581952.2426042526,132324594,0.011955088524502444,165405743,4.5419872580529725,132324594,1581952,Target older groups first
