sensitivity_run,strategy,income_group,target_group,age_target,coverage_children,coverage_middle,coverage_old,t_start,R0,efficacy,reduction2,reduction1,mode,immunosenescence,hs_constraints,reduce_inf,timing1,timing2,duration_R,duration_V,vaccine_start,vaccine_period,dur_vacc_delay,seeding_cases,deaths_averted_2021,vaccine_n_2021,pop_2019,proportion,dapd_2021,total_vaccine_n,total_deaths_averted
default,strategy1_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.11,0.11,0.11,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,1007806.3280814649,133262678.48201217,1212261796,100,0.007562554944575114,840632424.7651144,4970676.868945836
default,strategy1_cov2,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.11,0.11,0.11,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,1516745.3002025534,314006683.0310124,2855862789,100,0.004830296239436261,840632424.7651144,4970676.868945836
default,strategy1_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.11,0.11,0.11,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,2125655.189413558,320297268.82818156,2913363391,100,0.006636507383251627,840632424.7651144,4970676.868945836
default,strategy1_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.11,0.11,0.11,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,320470.05124825926,73065794.42390832,664957848,100,0.004386047585946677,840632424.7651144,4970676.868945836
default,strategy2_cov2,HIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,0.52,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,1684022.9295554091,134158224.76118919,1212261796,85.6,0.012552513515687055,845445430.8014045,10126718.183237758
default,strategy2_cov2,UMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.05,0.8,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,3628297.7074743123,317915388.19580513,2855862789,76.2,0.011412777871700981,845445430.8014045,10126718.183237758
default,strategy2_cov2,LMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.1,0.8,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,4002477.098238416,320485588.6377758,2913363391,70.5,0.012488789637159499,845445430.8014045,10126718.183237758
default,strategy2_cov2,LIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.15,0.8,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,811920.4479696193,72886229.2066344,664957848,59.9,0.011139558964805316,845445430.8014045,10126718.183237758
default,strategy3_cov2,HIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.12,0.8,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,2713260.591475999,299899869.77210516,1212261796,85.6,0.00904722163946858,848887016.3048736,10597382.354180187
default,strategy3_cov2,UMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.06,0.8,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,3669438.124467531,336856155.6195225,2855862789,76.2,0.010893190055318878,848887016.3048736,10597382.354180187
default,strategy3_cov2,LMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.03,0.8,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,3604366.5735309436,188331404.7805362,2913363391,70.5,0.019138425573425395,848887016.3048736,10597382.354180187
default,strategy3_cov2,LIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0.02,0.8,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,610317.0647057137,23799586.13270976,664957848,59.9,0.025644020080958632,848887016.3048736,10597382.354180187
default,strategy4_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.7,0.7,0.7,60,2.5,0.9,0.2,0.56,Combined,1,Present,1,60,357,365,5000,327,30,7,60,3921028.532998227,848031872.0447074,1212261796,100,0.004623680621276831,848031872.0447074,3921028.532998227
