income_group,age_target,country_name,partition_size,country_code,income_group_p,pop_2019,proportion,deaths,life_years_lost,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,vaccine_start,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,y,additional_life_years_2021,cost,dapd_2021,income_group_size,country
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Haiti,11263077,HTI,LIC_HTI,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,15019,290879,673298,0.022306614418759415,625790062,LIC_HTI
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Madagascar,26969307,MDG,LIC_MDG,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,35963,696507,1612205,0.022306614418759415,625790062,LIC_MDG
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Mali,19658031,MLI,LIC_MLI,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,26213,507686,1175142,0.022306614418759415,625790062,LIC_MLI
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Mozambique,30366036,MOZ,LIC_MOZ,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,40492,784230,1815258,0.022306614418759415,625790062,LIC_MOZ
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Malawi,18628747,MWI,LIC_MWI,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,24841,481104,1113612,0.022306614418759415,625790062,LIC_MWI
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Niger,23310715,NER,LIC_NER,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,31084,602020,1393497,0.022306614418759415,625790062,LIC_NER
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,"Korea, Dem. People’s Rep.",25666161,PRK,LIC_PRK,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,34225,662852,1534304,0.022306614418759415,625790062,LIC_PRK
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Rwanda,12626950,RWA,LIC_RWA,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,16838,326102,754829,0.022306614418759415,625790062,LIC_RWA
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Sudan,42813238,SDN,LIC_SDN,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,57090,1105690,2559343,0.022306614418759415,625790062,LIC_SDN
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Somalia,15442905,SOM,LIC_SOM,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,20593,398827,923165,0.022306614418759415,625790062,LIC_SOM
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,South Sudan,11062113,SSD,LIC_SSD,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,14751,285689,661285,0.022306614418759415,625790062,LIC_SSD
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Syrian Arab Republic,17070135,SYR,LIC_SYR,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,22763,440852,1020440,0.022306614418759415,625790062,LIC_SYR
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Chad,15946876,TCD,LIC_TCD,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,21265,411842,953292,0.022306614418759415,625790062,LIC_TCD
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Uganda,44269594,UGA,LIC_UGA,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,59032,1143302,2646403,0.022306614418759415,625790062,LIC_UGA
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,"Yemen, Rep.",29161922,YEM,LIC_YEM,664957848,7.472404681,134370.54,4525500.93,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,201044.16,5816795.92,38887,753133,1743277,0.022306614418759415,625790062,LIC_YEM
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Angola,31825295,AGO,LMIC_AGO,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,104284,2583238,4161378,0.02505986479562429,2838621269,LMIC_AGO
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Benin,11801151,BEN,LMIC_BEN,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,38669,957892,1543082,0.02505986479562429,2838621269,LMIC_BEN
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Bangladesh,163046161,BGD,LMIC_BGD,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,534262,13234350,21319417,0.02505986479562429,2838621269,LMIC_BGD
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Bolivia,11513100,BOL,LMIC_BOL,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,37726,934511,1505418,0.02505986479562429,2838621269,LMIC_BOL
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Cote d'Ivoire,25716544,CIV,LMIC_CIV,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,84267,2087395,3362617,0.02505986479562429,2838621269,LMIC_CIV
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Cameroon,25876380,CMR,LMIC_CMR,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,84790,2100369,3383516,0.02505986479562429,2838621269,LMIC_CMR
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Algeria,43053054,DZA,LMIC_DZA,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,141074,3494588,5629486,0.02505986479562429,2838621269,LMIC_DZA
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,"Egypt, Arab Rep.",100388073,EGY,LMIC_EGY,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,328947,8148434,13126437,0.02505986479562429,2838621269,LMIC_EGY
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Ghana,30417856,GHA,LMIC_GHA,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,99672,2468997,3977346,0.02505986479562429,2838621269,LMIC_GHA
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,India,1366417754,IND,LMIC_IND,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,4477411,110911233,178668602,0.02505986479562429,2838621269,LMIC_IND
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Kenya,52573973,KEN,LMIC_KEN,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,172272,4267395,6874412,0.02505986479562429,2838621269,LMIC_KEN
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Cambodia,16486542,KHM,LMIC_KHM,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,54022,1338202,2155730,0.02505986479562429,2838621269,LMIC_KHM
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Sri Lanka,21803000,LKA,LMIC_LKA,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,71443,1769735,2850894,0.02505986479562429,2838621269,LMIC_LKA
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Morocco,36471769,MAR,LMIC_MAR,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,119509,2960390,4768937,0.02505986479562429,2838621269,LMIC_MAR
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Myanmar,54045420,MMR,LMIC_MMR,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,177093,4386831,7066814,0.02505986479562429,2838621269,LMIC_MMR
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Nigeria,200963599,NGA,LMIC_NGA,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,658508,16312084,26277385,0.02505986479562429,2838621269,LMIC_NGA
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Nepal,28608710,NPL,LMIC_NPL,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,93744,2322150,3740787,0.02505986479562429,2838621269,LMIC_NPL
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Pakistan,216565318,PAK,LMIC_PAK,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,709631,17578465,28317418,0.02505986479562429,2838621269,LMIC_PAK
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Philippines,108116615,PHL,LMIC_PHL,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,354271,8775755,14136998,0.02505986479562429,2838621269,LMIC_PHL
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Senegal,16296364,SEN,LMIC_SEN,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,53399,1322765,2130863,0.02505986479562429,2838621269,LMIC_SEN
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Tunisia,11694719,TUN,LMIC_TUN,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,38321,949253,1529166,0.02505986479562429,2838621269,LMIC_TUN
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Tanzania,58005463,TZA,LMIC_TZA,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,190069,4708265,7584617,0.02505986479562429,2838621269,LMIC_TZA
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Ukraine,44385155,UKR,LMIC_UKR,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,145439,3602714,5803667,0.02505986479562429,2838621269,LMIC_UKR
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Uzbekistan,33580650,UZB,LMIC_UZB,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,110035,2725719,4390903,0.02505986479562429,2838621269,LMIC_UZB
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Vietnam,96462106,VNM,LMIC_VNM,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,316082,7829766,12613090,0.02505986479562429,2838621269,LMIC_VNM
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Zambia,17861030,ZMB,LMIC_ZMB,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,58526,1449768,2335454,0.02505986479562429,2838621269,LMIC_ZMB
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,Zimbabwe,14645468,ZWE,LMIC_ZWE,2913363391,16.344617313,91103.08,2236972.53,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,254940.64,6295439.74,47990,1188763,1914997,0.02505986479562429,2838621269,LMIC_ZWE
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Argentina,44938712,ARG,UMIC_ARG,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,41321,375471,2287693,0.01806212032963114,2747994588,UMIC_ARG
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Brazil,211049527,BRA,UMIC_BRA,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,194057,1763357,10743889,0.01806212032963114,2747994588,UMIC_BRA
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,China,1397715000,CHN,UMIC_CHN,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,1285182,11678159,71153419,0.01806212032963114,2747994588,UMIC_CHN
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Colombia,50339443,COL,UMIC_COL,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,46286,420595,2562628,0.01806212032963114,2747994588,UMIC_COL
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Cuba,11333483,CUB,UMIC_CUB,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,10421,94693,576953,0.01806212032963114,2747994588,UMIC_CUB
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Dominican Republic,10738958,DOM,UMIC_DOM,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,9874,89726,546688,0.01806212032963114,2747994588,UMIC_DOM
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Ecuador,17373662,ECU,UMIC_ECU,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,15975,145160,884440,0.01806212032963114,2747994588,UMIC_ECU
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Guatemala,16604026,GTM,UMIC_GTM,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,15267,138730,845260,0.01806212032963114,2747994588,UMIC_GTM
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Indonesia,270625568,IDN,UMIC_IDN,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,248837,2261125,13776724,0.01806212032963114,2747994588,UMIC_IDN
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,"Iran, Islamic Rep.",82913906,IRN,UMIC_IRN,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,76238,692761,4220895,0.01806212032963114,2747994588,UMIC_IRN
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Iraq,39309783,IRQ,UMIC_IRQ,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,36145,328440,2001141,0.01806212032963114,2747994588,UMIC_IRQ
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Kazakhstan,18513930,KAZ,UMIC_KAZ,2855862789,6.363369743,98353.11,1983074.14,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,144327.49,2400833.08,17023,154687,942488,0.01806212032963114,2747994588,UMIC_KAZ
