income_group,age_target,country_name,partition_size,country_code,income_group_p,pop_2019,proportion,deaths,life_years_lost,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,deaths_averted_2021,y,cost,dapd_2021,income_group_size,country
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Australia,25364307,AUS,HIC_AUS,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,79604,1242261,6865026,0.01159553292444051,1043649600,HIC_AUS
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Belgium,11484055,BEL,HIC_BEL,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,36042,562452,3108239,0.01159553292444051,1043649600,HIC_BEL
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Canada,37589262,CAN,HIC_CAN,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,117971,1841000,10173795,0.01159553292444051,1043649600,HIC_CAN
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Chile,18952038,CHL,HIC_CHL,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,59479,928209,5129501,0.01159553292444051,1043649600,HIC_CHL
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Germany,83132799,DEU,HIC_DEU,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,260905,4071574,22500470,0.01159553292444051,1043649600,HIC_DEU
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Spain,47076781,ESP,HIC_ESP,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,147746,2305668,12741658,0.01159553292444051,1043649600,HIC_ESP
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,France,67059887,FRA,HIC_FRA,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,210462,3284375,18150225,0.01159553292444051,1043649600,HIC_FRA
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,United Kingdom,66834405,GBR,HIC_GBR,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,209754,3273332,18089196,0.01159553292444051,1043649600,HIC_GBR
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Greece,10716322,GRC,HIC_GRC,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,33632,524851,2900447,0.01159553292444051,1043649600,HIC_GRC
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Italy,60297396,ITA,HIC_ITA,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,189238,2953171,16319909,0.01159553292444051,1043649600,HIC_ITA
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Japan,126264931,JPN,HIC_JPN,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,396271,6184046,34174481,0.01159553292444051,1043649600,HIC_JPN
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,"Korea, Rep.",51709098,KOR,HIC_KOR,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,162284,2532544,13995427,0.01159553292444051,1043649600,HIC_KOR
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Netherlands,17332850,NLD,HIC_NLD,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,54398,848907,4691256,0.01159553292444051,1043649600,HIC_NLD
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Poland,37970874,POL,HIC_POL,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,119168,1859690,10277081,0.01159553292444051,1043649600,HIC_POL
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Romania,19356544,ROU,HIC_ROU,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,60749,948021,5238983,0.01159553292444051,1043649600,HIC_ROU
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,Saudi Arabia,34268528,SAU,HIC_SAU,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,107549,1678361,9275015,0.01159553292444051,1043649600,HIC_SAU
HIC,1_1_1_1_0_0_1_1_0_0_0_0_0_0_0_0_0,United States,328239523,USA,HIC_USA,1212261796,33.83211902,5225.09,82405.44,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,162145.67,2531242.98,1030151,16076105,88840309,0.01159553292444051,1043649600,HIC_USA
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Afghanistan,38041754,AFG,LIC_AFG,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,99437,2914169,13207334,0.007528899213047606,625790062,LIC_AFG
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Burundi,11530580,BDI,LIC_BDI,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,30140,883294,4003186,0.007528899213047606,625790062,LIC_BDI
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Burkina Faso,20321378,BFA,LIC_BFA,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,53118,1556709,7055175,0.007528899213047606,625790062,LIC_BFA
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,"Congo, Dem. Rep.",86790567,COD,LIC_COD,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,226860,6648548,30131944,0.007528899213047606,625790062,LIC_COD
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Ethiopia,112078730,ETH,LIC_ETH,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,292961,8585735,38911487,0.007528899213047606,625790062,LIC_ETH
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Guinea,12771246,GIN,LIC_GIN,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,33383,978335,4433920,0.007528899213047606,625790062,LIC_GIN
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Haiti,11263077,HTI,LIC_HTI,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,29440,862802,3910314,0.007528899213047606,625790062,LIC_HTI
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Madagascar,26969307,MDG,LIC_MDG,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,70495,2065970,9363202,0.007528899213047606,625790062,LIC_MDG
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Mali,19658031,MLI,LIC_MLI,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,51384,1505894,6824874,0.007528899213047606,625790062,LIC_MLI
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Mozambique,30366036,MOZ,LIC_MOZ,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,79373,2326175,10542479,0.007528899213047606,625790062,LIC_MOZ
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Malawi,18628747,MWI,LIC_MWI,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,48693,1427046,6467527,0.007528899213047606,625790062,LIC_MWI
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Niger,23310715,NER,LIC_NER,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,60931,1785706,8093013,0.007528899213047606,625790062,LIC_NER
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,"Korea, Dem. People’s Rep.",25666161,PRK,LIC_PRK,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,67088,1966143,8910776,0.007528899213047606,625790062,LIC_PRK
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Rwanda,12626950,RWA,LIC_RWA,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,33005,967281,4383824,0.007528899213047606,625790062,LIC_RWA
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Sudan,42813238,SDN,LIC_SDN,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,111909,3279687,14863898,0.007528899213047606,625790062,LIC_SDN
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Somalia,15442905,SOM,LIC_SOM,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,40366,1182996,5361467,0.007528899213047606,625790062,LIC_SOM
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,South Sudan,11062113,SSD,LIC_SSD,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,28915,847408,3840544,0.007528899213047606,625790062,LIC_SSD
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Syrian Arab Republic,17070135,SYR,LIC_SYR,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,44619,1307649,5926408,0.007528899213047606,625790062,LIC_SYR
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Chad,15946876,TCD,LIC_TCD,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,41683,1221602,5536436,0.007528899213047606,625790062,LIC_TCD
LIC,0_0_1_0_0_0_1_1_1_1_1_1_1_1_1_1_1,Uganda,44269594,UGA,LIC_UGA,664957848,43.397492881,6103.14,220897.28,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,115716,3391250,15369515,0.007528899213047606,625790062,LIC_UGA
