strategy,income_group,target_group,age_target,pop_2019,proportion,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,vaccine_start,seeding_cases,timing1,timing2,deaths_averted_2021,vaccine_n_2021,dapd_2021,total_vaccine_n,total_deaths_averted
strategy1_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,712777.347326018,134758364,0.0052892995000000005,850000001,4290240.971264752
strategy1_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,1144106.1155974586,317465582,0.0036038744999999984,850000001,4290240.971264752
strategy1_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2062490.3386552068,323857507,0.006368511749999999,850000001,4290240.971264752
strategy1_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,370867.1696860681,73918548,0.005017241000000001,850000001,4290240.971264752
strategy2_cov1,HIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1212261796,21.3,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,1598580.6611355506,134758364,0.011862571002535698,850000001,12881817.942534408
strategy2_cov1,UMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2855862789,9.8,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,3302282.649917093,223899643,0.014748941113394688,850000001,12881817.942534408
strategy2_cov1,LMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2913363391,5.7,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5304160.574100279,132849371,0.039926124859863125,850000001,12881817.942534408
strategy2_cov1,LIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,664957848,3.1,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,539227.6133713056,16490955,0.03269838607717416,850000001,12881817.942534408
strategy2_cov1,HIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1212261796,64.3,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0,850000001,12881817.942534408
strategy2_cov1,UMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,2855862789,66.4,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,341995.6021158068,93565939,0.00365512926788248,850000001,12881817.942534408
