strategy,income_group,age_target,deaths_averted_per_m,dap100d_2021,total_deaths_averted_per_m,dap100d_total
strategy1_cov1,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,450,0.4,348,0.31
strategy1_cov1,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,300,0.27,348,0.31
strategy1_cov1,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,346,0.31,348,0.31
strategy1_cov1,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,378,0.34,348,0.31
strategy2_cov1,HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1293,1.16,1316,1.18
strategy2_cov1,UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1268,1.14,1316,1.18
strategy2_cov1,LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1388,1.25,1316,1.18
strategy2_cov1,LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1238,1.11,1316,1.18
strategy3_cov1,HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2260,0.9,1394,1.25
strategy3_cov1,UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1252,1.09,1394,1.25
strategy3_cov1,LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1279,1.91,1394,1.25
strategy3_cov1,LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,932,2.56,1394,1.25
strategy4_cov1,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2837,0.4,450,0.4
strategy4_cov1,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,450,0.4
strategy4_cov1,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,450,0.4
strategy4_cov1,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,450,0.4
strategy5_cov1,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,352,0.32
strategy5_cov1,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,352,0.32
strategy5_cov1,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,740,0.31,352,0.32
strategy5_cov1,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,808,0.34,352,0.32
strategy6_cov1,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2081,0.4,785,0.33
strategy6_cov1,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,519,0.27,785,0.33
strategy6_cov1,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,598,0.31,785,0.33
strategy6_cov1,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,378,0.34,785,0.33
strategy1_cov2,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,831,0.76,650,0.59
strategy1_cov2,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,531,0.48,650,0.59
strategy1_cov2,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,730,0.66,650,0.59
strategy1_cov2,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,482,0.44,650,0.59
strategy2_cov2,HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1389,1.26,1324,1.2
strategy2_cov2,UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1270,1.14,1324,1.2
strategy2_cov2,LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1374,1.25,1324,1.2
strategy2_cov2,LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1221,1.11,1324,1.2
strategy3_cov2,HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2238,0.9,1386,1.25
strategy3_cov2,UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1285,1.09,1386,1.25
strategy3_cov2,LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1237,1.91,1386,1.25
strategy3_cov2,LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,918,2.56,1386,1.25
strategy4_cov2,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,3234,0.46,513,0.46
strategy5_cov2,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1323,0.55,597,0.53
strategy5_cov2,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1074,0.45,597,0.53
strategy6_cov2,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,3231,0.63,1308,0.56
strategy6_cov2,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,898,0.47,1308,0.56
strategy6_cov2,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1099,0.58,1308,0.56
strategy6_cov2,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,482,0.44,1308,0.56
