run_number,deaths,life_years_lost,vaccine_n
1,162146.76,2531260.34,0
2,108457.08,1874008.8,0
3,124987.59,3011225.52,0
4,136696.91,4048090.27,0
5,157413.39,2451439.19,1963964
6,95514.36,1665002.35,3204381
7,105690.28,2489163.47,3966688
8,130592.56,3805874.62,5940481
9,154600.92,2417776.27,1941826
10,98452.99,1693088.08,3242433
11,103745.04,2389793.15,3988908
12,128073.49,3706081.58,5277876
13,149416.53,2331010.81,3904926
14,83978.56,1456770.28,6446333
15,91009.84,2098056.51,7953990
16,121175.86,3448103.4,11213837
17,153853.49,2425141.5,1844939
18,96827.96,1671173.63,3065545
19,101999.94,2349496.97,3847784
20,125563.99,3614127.34,4811017
21,148728.88,2339443.4,3809284
22,81443.26,1420118.59,6269331
23,88313.53,2036676.29,7815029
24,117950.58,3333821.58,10747767
25,145714.65,2303198.86,3786255
26,83018.91,1425528.63,6308172
27,86945.94,1974573.91,7833418
28,115078.04,3235668.87,10088235
29,139979.81,2208052.81,5751077
30,62752.12,1088526.7,9511115
31,68956.29,1569215.2,11802699
32,106431.82,2937201.04,16023929
33,155140.37,2413700.58,1862830
34,97067.01,1673621.63,2671153
35,102318.57,2360145.01,3641418
36,125504.02,3623768.03,4350633
37,149981.67,2327082.95,3827307
38,82160.46,1431068.55,5875002
39,89085.18,2057814.23,7607857
40,118073.34,3349504.68,10287662
41,141474.3,2198897.61,5767475
42,65605.52,1136123.3,9116721
43,71371.18,1622792.48,11598062
44,105844.49,2920432.55,15564302
45,146191.4,2297802.58,3708078
46,81934.47,1411957.96,5736939
47,85643.27,1948047.95,7488274
48,111433.76,3118544.11,9162251
49,140507.77,2203244.34,5672059
50,60649.34,1058585.41,8940749
51,66420.29,1515780.78,11454409
52,101387.57,2779718.73,15098573
53,137369.24,2165442.87,5648841
54,30700.65,526370.96,8978886
55,26765.72,605923.73,11475110
56,96869.88,2640783.08,14438289
57,130769.44,2056814.64,7614733
58,2114.42,37065.85,12183565
59,2222.75,50227.74,15444601
60,81526.28,2174561.05,20378555
61,152063.49,2371831.49,2270828
62,100688.35,1717125.68,3093027
63,110814.34,2589407,3531432
64,127499.3,3689988.84,3864705
65,146769,2282948.95,4233257
66,87381.35,1503225.54,6296370
67,95074.39,2193060.38,7497778
68,120772.03,3437835.15,9800337
69,137588.34,2143866.48,6175182
70,74599.29,1275291.59,9538433
71,81426.76,1851781.12,11483664
72,109696.88,3040604.64,15079091
73,126817.46,2001200.81,8018867
74,44287.34,755864.13,12603174
75,51125.06,1149404.75,15330330
76,90024.32,2409822.5,19892761
77,144577.16,2246950.21,4132032
78,88433.35,1504616.37,5766209
79,93467.53,2128101.03,7172722
80,114968.92,3242068.53,8214962
81,138754.63,2149668.58,6095562
82,73312.15,1260174.39,8969092
83,80069.59,1826947.22,11138336
84,106767.36,2956555.05,14155101
85,128799.72,1998744.08,8037659
86,53552.06,913637.25,12210109
87,59354.45,1331953.05,15124325
88,91138.86,2446293.87,19428080
89,134614.55,2115991.19,5977415
90,70041.48,1189997.13,8829198
91,73378.85,1645490.8,11018392
92,97281.8,2649655.99,13025928
93,128051.89,2007444.91,7940851
94,45570.57,784856.11,12035382
95,51506.92,1162668.31,14984762
96,82500.1,2198208.77,18964707
97,124053.26,1956803.4,7918206
98,5352.88,90653.06,12073984
99,4262.17,94701.6,15008182
100,68862.73,1818547.41,18307535
101,115168.15,1812817,9881581
102,824.69,14576.45,15274301
103,905.9,20454.18,18974576
104,30923.63,797085.47,24237977
105,152350.25,2371953.21,2733103
106,99142.3,1693713.93,3411673
107,109520.11,2561285.83,3509782
108,128656.11,3723491.09,3212438
109,147273.55,2286858.47,4696946
110,85998.85,1483327.96,6613590
111,94302.55,2181522.49,7477085
112,122291.17,3482588.57,9146483
113,138624.52,2156643.29,6637910
114,73456.42,1260080.25,9855033
115,80869.66,1845877.23,11462640
116,111857.17,3104133.76,14424309
117,128174.84,2019048.62,8482004
118,46051.32,790243.14,12919957
119,53044.9,1197898.42,15309431
120,94172.13,2524825.23,19233912
121,117158.59,1840513.44,10344641
122,798.96,14171.18,15591365
123,883.67,20016.09,18950532
124,42145.37,1084873.64,23585525
125,142121.36,2210830.29,5002143
126,91284.92,1538375.8,6501455
127,97706.16,2227246.09,7041115
128,118960.61,3362551.53,7074490
129,136450.05,2116166.81,6967843
130,78077,1328348.54,9705501
131,86171.55,1969305.83,11007081
132,112027.91,3114748.51,13010855
133,126466.89,1964945.49,8907095
134,64481.03,1089397.14,12947345
135,71615.72,1612924.86,14993165
136,99703.48,2693564.46,18287634
137,113933.51,1796169.56,10751582
138,26095.2,440467.37,16013802
139,32870.59,736470.38,18840870
140,69051.42,1792138.47,23099592
141,134056.72,2077236.2,6865451
142,77953.11,1310559.15,9173446
143,83385.26,1878382.96,10681065
144,105086.76,2889229.97,11425364
145,127763.01,1972726.02,8830818
146,63232.19,1075122.16,12376839
147,70273.45,1588852.71,14648136
148,96566.94,2607622.15,17364681
149,116633.65,1803984.98,10770087
150,40355.01,680399.84,15618342
151,46494.35,1034988.08,18634020
152,74808.85,1951518.61,22637924
153,123048.52,1930982.03,8710011
154,54928.14,922452.39,12238087
155,58688.89,1303364.96,14527744
156,79425.85,2098000.4,16235528
157,115753.68,1811208.84,10673950
