t_start,R0,reduction1,reduction2,coverage,age_target,income_group,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,run_number,directory_out
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,HIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,1,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,UMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,2,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,3,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,4,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,HIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,5,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,UMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,6,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,7,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,8,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,HIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,9,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,UMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,10,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,11,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,12,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,HIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,13,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,UMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,14,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,15,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,16,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,HIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,17,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,UMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,18,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LMIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,19,default
60,2.5,0.5599999999999999,0.19999999999999996,0.8,0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,LIC,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,20,default
