run_number,deaths,life_years_lost,vaccine_n
16729,83610.09,1399141.61,0
16730,58173.63,1031957.83,0
16731,65994.89,1576863.51,0
16732,96943.95,2832597.33,0
16733,77190.63,1288202.43,1963964
16734,46669.53,836940.83,3204381
16735,55120.01,1323444.97,3966688
16736,88471.19,2545068.49,5940481
16737,65294,1098923.24,1941826
16738,38484.42,678703.02,3242433
16739,45236.82,1071532.35,3988908
16740,79659.66,2267616.2,5277876
16741,55122.56,926672.05,3904926
16742,20961.98,373988.83,6446333
16743,27739.65,665275.52,7953990
16744,62732.97,1755606.32,11213837
16745,69534.51,1183285.07,1844939
16746,17665.74,314041.26,3065545
16747,21262.32,509421.78,3847784
16748,62776.87,1769583.72,4811017
16749,55973.53,954012.9,3809284
16750,3543.46,63886.17,6269331
16751,4808.12,115439.29,7815029
16752,32170.28,888574.45,10747767
16753,24051.92,418210.36,3786255
16754,1520,27020.07,6308172
16755,1695.46,39494.75,7833418
16756,17956.4,492838.43,10088235
16757,11901.6,206828.34,5751077
16758,762.03,13741.68,9511115
16759,875.11,20325.02,11802699
16760,5206.75,141320.09,16023929
16761,73936,1233629.22,1862830
16762,41941.56,742940.62,2671153
16763,48346.04,1146150.39,3641418
16764,73681.26,2093966.23,4350633
16765,64469.75,1073239.87,3827307
16766,26607.88,477789.32,5875002
16767,33410.55,800964.57,7607857
16768,51445.18,1435758.39,10287662
16769,18944.6,320086.39,5767475
16770,935.83,16816.27,9116721
16771,1110.6,25884.98,11598062
16772,5142.53,139704.55,15564302
16773,56547.55,962081.21,3708078
16774,1628.67,29088.95,5736939
16775,1776.19,41543.97,7488274
16776,6759.63,185041.11,9162251
16777,36713.88,627286.36,5672059
16778,734.34,13295.48,8940749
16779,836.64,19466.16,11454409
16780,2124.74,58110.69,15098573
16781,6072.6,105315.94,5648841
16782,599.85,10810.26,8978886
16783,648.41,14933.88,11475110
16784,1521.19,41862.74,14438289
16785,2460.8,42401.05,7614733
16786,554.16,10032.68,12183565
16787,605.42,13977.31,15444601
16788,1122.3,31085.75,20378555
16789,73702.08,1231924.67,2270828
16790,51215.87,896539.27,3093027
16791,58540.29,1383923.08,3531432
16792,83766.79,2393587.02,3864705
16793,66062.31,1101032.99,4233257
16794,40128.49,710255.02,6296370
16795,48007.37,1141830.25,7497778
16796,71999.49,2024879.13,9800337
16797,33814.69,569572.35,6175182
16798,11431.31,201273.59,9538433
16799,16148.35,385582.13,11483664
16800,20928.8,570317.7,15079091
16801,2540.05,43944.21,8018867
16802,638.84,11489.89,12603174
16803,716.38,16538.42,15330330
16804,1352.92,37149.21,19892761
16805,63104.96,1051869.08,4132032
16806,33977.07,594313.19,5766209
16807,39894.86,938228.34,7172722
16808,42539.08,1181634.09,8214962
16809,51373.04,854539.89,6095562
16810,19645.26,348680.62,8969092
16811,25539.24,609294.67,11138336
16812,16848.91,460412.53,14155101
16813,6308.97,106097.31,8037659
16814,743.3,13315.91,12210109
16815,858.88,19860.01,15124325
16816,1491.86,40868.4,19428080
16817,40450.95,691129.71,5977415
16818,943.91,16804.29,8829198
16819,1040.23,24023.2,11018392
16820,1594.73,43802.47,13025928
16821,19211.21,329802.89,7940851
16822,642.98,11597.47,12035382
16823,722.57,16718.73,14984762
16824,1127.43,31193.08,18964707
16825,1558.9,26905.69,7918206
16826,569.68,10246.34,12073984
16827,616.89,14176.16,15008182
16828,1013.33,28142.59,18307535
16829,888.01,15295.02,9881581
16830,543.04,9807.64,15274301
16831,592.44,13648.95,18974576
16832,953.32,26517.1,24237977
16833,75028.75,1252194.46,2733103
16834,50521.77,886585.14,3411673
16835,58135.47,1378480.32,3509782
16836,86632.5,2475569.22,3212438
16837,67889.16,1129868.3,4696946
16838,39701.6,704880.17,6613590
16839,47767.9,1139949.93,7477085
16840,76656.33,2157094.5,9146483
16841,40671.64,683383.78,6637910
16842,12208.61,215799.02,9855033
16843,17127.89,410387.21,11462640
16844,33393.89,911503.02,14424309
16845,4184.32,72471.29,8482004
16846,651.05,11721.06,12919957
16847,732.77,16948.89,15309431
16848,1690.48,45998.06,19233912
16849,1065.92,18330.62,10344641
16850,541.7,9788.25,15591365
16851,590.72,13618.29,18950532
16852,970.03,26921.84,23585525
16853,65409.95,1090419.13,5002143
16854,44047.05,762636.49,6501455
16855,51131.12,1200214.79,7041115
16856,70313.97,1964888.79,7074490
16857,57009.98,947598.02,6967843
16858,33765.75,591632.1,9705501
16859,41224,975303.54,11007081
16860,53821.15,1481237.91,13010855
16861,22319.67,375261.91,8907095
16862,6183.44,107934.84,12947345
16863,9061.14,215604.93,14993165
16864,6012.42,161137.62,18287634
16865,1218.02,21012.84,10751582
16866,598.56,10753.24,16013802
16867,665,15325.35,18840870
16868,1049.77,28981.83,23099592
16869,53601.66,891229.76,6865451
16870,25447.19,440642.92,9173446
16871,30869.6,723641.71,10681065
16872,16023.89,435562.95,11425364
16873,40382.58,670203.63,8830818
16874,13137.43,231187.49,12376839
16875,17862.92,426036.5,14648136
16876,5129.08,138141.73,17364681
16877,3058.74,51170.66,10770087
16878,654.82,11724.1,15618342
16879,743.06,17131.39,18634020
16880,1100.14,30315.12,22637924
16881,26969.81,462126.93,8710011
16882,715.38,12755.3,12238087
16883,791.33,18201.45,14527744
16884,1071.44,29609.01,16235528
