run_number,deaths,life_years_lost,vaccine_n
27881,176773.39,2706827.65,0
27882,111325.03,1920706.85,0
27883,127915.44,3077322.69,0
27884,136434.13,4026358.41,0
27885,174536.79,2668328.2,1963483
27886,104191.54,1803782.17,3204055
27887,116763.3,2764975.07,3967093
27888,133005.35,3874869.12,5937077
27889,173045.57,2649197.25,1941506
27890,106290.96,1826406.44,3243858
27891,116099.32,2715564.8,3986369
27892,131692.74,3816347.54,5277279
27893,170802.51,2610736.73,3905098
27894,98806.4,1703421.48,6445885
27895,105816.53,2438459.88,7953643
27896,128107.74,3663817.06,11214559
27897,168735.46,2608073.71,1845136
27898,98116.84,1692488.46,3065385
27899,102493.07,2354678.13,3846989
27900,124721.65,3578205.1,4812027
27901,166316.56,2566918.09,3808608
27902,89342.25,1547387.74,6269092
27903,94689.75,2169462.1,7817139
27904,120535.81,3409793.87,10747031
27905,164706.26,2546094.93,3787029
27906,91587.41,1573287.81,6307433
27907,95360.94,2166627.95,7833629
27908,119305.77,3362491.34,10089879
27909,162279.31,2504943.77,5750098
27910,82186.66,1417419.57,9511523
27911,87054.54,1972496.33,11800042
27912,114965.02,3194627.53,16028374
27913,170188.96,2598043.65,1862762
27914,98614.08,1700139.51,2671272
27915,103015.5,2370739.99,3643136
27916,124470.44,3581222.24,4350767
27917,167771.4,2556698.17,3827130
27918,90079.24,1559363.79,5875161
27919,95435.64,2190714.56,7608472
27920,120282.12,3412515.15,10286413
27921,163779.89,2495204.44,5767581
27922,82820.77,1426842.43,9116733
27923,87451.12,1981429.27,11595061
27924,114068.5,3169434.62,15568753
27925,161347.23,2487405.78,3707652
27926,75208.28,1297471.51,5739282
27927,77089.85,1752426.26,7487708
27928,109069.78,3039162.55,9162182
27929,158696.09,2442655.74,5671751
27930,49675.12,862473.15,8940342
27931,52880.69,1206690.95,11455760
27932,103524.89,2840076.58,15098503
27933,156977.07,2420233.23,5649021
27934,47082.71,808826.34,8978409
27935,44493.4,1005876.61,11473937
27936,101931.91,2786104.46,14442998
27937,154290.93,2375099.01,7613282
27938,14852.34,256984.8,12182050
27939,14822.47,335474.69,15440804
27940,95812.59,2578264.35,20374040
27941,166197.83,2543970.13,2269460
27942,102527.35,1746646.42,3092531
27943,111944.79,2607986.51,3530905
27944,126809.1,3659734.96,3864935
27945,163664.06,2500783.84,4232899
27946,95065.54,1624741.95,6296243
27947,102140.27,2347362.03,7497525
27948,123024.9,3503428.33,9800548
27949,159381.69,2434689.63,6176255
27950,89053.88,1514361.61,9538048
27951,94901.22,2149318.58,11484492
27952,117319.86,3273647.42,15078228
27953,149990.68,2316759.46,8021385
27954,68239.76,1158875.2,12603296
27955,73253.55,1634822.14,15332902
27956,100876.47,2723658.35,19888239
27957,159020.22,2425958.26,4132501
27958,88339.94,1503267.74,5764207
27959,92600.72,2103775.37,7172896
27960,112991.54,3174928.41,8214753
27961,156260.73,2379237.63,6096368
27962,79416.58,1356791.25,8970182
27963,84733.33,1920621,11138243
27964,108325.76,3000066.43,14150596
27965,151648.39,2308115.52,8036815
27966,70850.78,1203274.53,12210215
27967,75481.02,1686473.7,15124363
27968,100748.66,2726250.08,19427584
27969,149227.81,2301895.18,5977173
27970,40675.95,692080.28,8829890
27971,39998.61,904351.7,11021763
27972,91810.93,2486479.85,13026839
27973,146150.08,2250528.71,7940391
27974,12207.32,209284.68,12032926
27975,13153.09,298008.78,14988734
