run_number,deaths,life_years_lost,vaccine_n
25721,513.41,9628.17,22022571
25722,515,9680.56,26701456
25723,449.17,9382.57,29712751
25724,425.18,9789.6,32672772
25725,82463.64,1801287.97,6309984
25726,62380.98,1454965.5,3876681
25727,47607.9,1221361.37,3401998
25728,40671.71,1127390.4,2250115
25729,66498.65,1429190.42,9247301
25730,53886.23,1234272.02,7027629
25731,41553.86,1042545.18,6459448
25732,37552.67,1010395.62,4476442
25733,52172.49,1107393.72,12230244
25734,48454.86,1089942.04,10349611
25735,37558.69,923328.37,9774173
25736,34577.28,903623.65,7118523
25737,45960.63,966644.75,14962918
25738,42790.77,950500.51,13758392
25739,33555.02,812352.31,13284044
25740,31732.82,808699.49,10329409
25741,40191.51,839641.18,17230956
25742,37781.65,828012.02,16851172
25743,29877.72,712365.91,16814264
25744,28060.38,698471.94,14194398
25745,30807.9,640818.15,19093771
25746,28928.91,630935.77,19522313
25747,22917.24,538530.28,20455412
25748,21017.6,509404.13,18545225
25749,19503.24,410443.57,20940733
25750,7015.41,151830.75,22588009
25751,5661.43,131118.66,24302393
25752,513.94,11840.63,23356424
25753,457.72,8375.03,22880088
25754,521.5,9774.51,25828857
25755,451.22,9383.79,28288832
25756,409.34,9368.94,28633980
25757,450.88,8215.35,24843066
25758,510.31,9525.53,29032672
25759,444.94,9231.33,32255604
25760,409.18,9347.95,34570109
25761,82793.72,1813029.2,6051170
25762,61241.41,1423744.96,3788455
25763,46815.57,1201552.56,2922629
25764,40723.13,1135236.6,1902994
25765,69676.08,1494561.94,8872695
25766,55597.42,1265790.77,6119288
25767,42410.2,1062152.81,5465459
25768,37680.53,1021559.1,3800780
25769,53631.91,1128364.75,11809732
25770,47488.14,1059746.32,9270240
25771,36608.13,894343.27,8522505
25772,34591.33,907495.68,6026192
25773,39634.58,820445.19,14791324
25774,42333.98,925684.57,12591841
25775,32778.88,782800.37,11838446
25776,31635.27,803843.82,8669121
25777,34434.99,704744.91,17523710
25778,37125.98,800498.26,16004275
25779,29077.68,682692.42,15347472
25780,28830.27,712869.79,11879719
25781,29846.88,605579.33,19793942
25782,32675.33,694185.88,19093239
