run_number,deaths,life_years_lost,vaccine_n
33457,225354.61,3348730.72,0
33458,144686.66,2456414.12,0
33459,196499.98,4979181.66,0
33460,156266.37,4667733.56,0
33461,221607.35,3286593.97,1963964
33462,132978.18,2273718.29,3204381
33463,175823.7,4393469.96,3966688
33464,151602.8,4456216.59,5940481
33465,219785.28,3270018.89,1941826
33466,137644.23,2328110.37,3242433
33467,174136.96,4277455.79,3988908
33468,150340.88,4395994.04,5277876
33469,215590.76,3201201.96,3904926
33470,124357.9,2118494.96,6446333
33471,150824.56,3630986.53,7953990
33472,145004.39,4169038.43,11213837
33473,218374.6,3267588.89,1844939
33474,136714.79,2318026.36,3065545
33475,168586.84,4109640.73,3847784
33476,149060.94,4342047.48,4811017
33477,214359.02,3201725.2,3809284
33478,123117.09,2104546.27,6269331
33479,143483.29,3411753.53,7815029
33480,143336.21,4101286.78,10747767
33481,212370.57,3183519.36,3786255
33482,127584.32,2154659.77,6308172
33483,141299.97,3290621.72,7833418
33484,141600.52,4033425.05,10088235
33485,207821.21,3109693.33,5751077
33486,111591.78,1900213.44,9511115
33487,115474.41,2603436.14,11802699
33488,134975.52,3773960.71,16023929
33489,219796.53,3255780.03,1862830
33490,136148.58,2306240.36,2671153
33491,172434.5,4230592.79,3641418
33492,148468.41,4330636.18,4350633
33493,215772.12,3189278.59,3827307
33494,122519.37,2092321.34,5875002
33495,148363.17,3566907.06,7607857
33496,142781.36,4092053.09,10287662
33497,209512.99,3100386.92,5767475
33498,111925.34,1903649.32,9116721
33499,116837.13,2642349.31,11598062
33500,134340.08,3754181.14,15564302
33501,212169.56,3165806.08,3708078
33502,126229.88,2136204.76,5736939
33503,139053.98,3231843.74,7488274
33504,139340.57,3953592.05,9162251
33505,207807.61,3094560.18,5672059
33506,109846.94,1877026.47,8940749
33507,112677.54,2535312.8,11454409
33508,132092.33,3673757.18,15098573
33509,205869.8,3077522.67,5648841
33510,114978.07,1937279.87,8978886
33511,114010.07,2525464.32,11475110
33512,129711.15,3589805.44,14438289
33513,200921.65,2997553.41,7614733
33514,93043.58,1583350.97,12183565
33515,93774.75,2073727.62,15444601
33516,121077.13,3281097.01,20378555
