run_number,deaths,life_years_lost,vaccine_n
11153,162146.76,2531260.34,0
11154,108457.08,1874008.8,0
11155,124987.59,3011225.52,0
11156,136696.91,4048090.27,0
11157,162097.6,2527452.81,1963668
11158,108371.01,1867670.7,3203864
11159,124392.77,2973452.51,3966919
11160,135874.96,3979270.13,5936366
11161,162052.97,2524508.75,1941164
11162,108306.63,1862962.41,3241917
11163,123947.97,2948268.87,3987456
11164,135373.76,3943924.7,5280059
11165,162003.46,2520692.56,3906731
11166,108220.88,1856632.74,6445621
11167,123357.95,2910885.15,7953387
11168,134553.26,3875203.77,11213756
11169,162008.04,2522026.65,1845265
11170,108225.21,1858125.45,3066516
11171,123525.96,2927201.64,3847197
11172,134838.55,3911146.6,4810622
11173,161958.37,2518213.12,3808534
11174,108139.38,1851798.62,6269384
11175,122937.22,2889928.57,7813888
11176,134016.75,3842312.48,10751010
11177,161913.75,2515269.22,3786132
11178,108074.81,1847088.05,6307563
11179,122497.64,2865122.75,7833850
11180,133517.2,3807114.39,10087952
11181,161864.46,2511461.41,5749654
11182,107988.86,1840751.11,9513842
11183,121912.82,2828205.35,11800863
11184,132696.41,3738387.5,16023672
11185,161938.89,2517988.89,1863078
11186,108146.4,1854195.26,2671950
11187,123261.11,2921182.1,3640830
11188,134590.24,3903492.06,4350692
11189,161889.13,2514172.56,3826844
11190,108060.65,1847870.28,5875082
11191,122673.53,2884026.99,7608576
11192,133769.97,3834763.61,10286266
11193,161795.51,2507425.68,5767789
11194,107910.08,1836826.47,9117200
11195,121654.6,2822622.65,11594120
11196,132448.81,3730752.69,15563210
11197,161799.3,2508739.21,3709358
11198,107914.51,1838320.59,5737727
11199,121820.57,2838675.48,7488925
11200,132733.35,3766633.99,9161752
11201,161750.45,2504945.48,5671267
11202,107828.7,1831988.2,8942637
11203,121240.01,2802067.26,11454786
11204,131913.11,3697936.92,15097127
11205,161705.96,2502003.01,5649115
11206,107763.48,1827273.62,8979377
11207,120808.25,2777762.54,11474007
11208,131411.35,3662568.16,14442242
11209,161656.31,2498189.02,7612935
11210,107677.94,1820956.05,12182527
11211,120232.69,2741531.81,15440613
11212,130592.32,3593982.23,20374127
11213,161799.37,2510972.81,2269533
11214,108052,1849378.16,3093337
11215,123309.17,2928931.69,3532678
11216,134368.08,3899734.36,3866677
11217,161749.86,2507159.1,4233645
11218,107966.18,1843053.79,6296267
11219,122724.16,2891860.6,7497896
11220,133548.49,3831052.01,9801537
11221,161656.01,2500410.71,6174326
11222,107815.68,1832014.31,9537912
11223,121704.1,2830381,11483671
11224,132228.09,3727071.76,15077472
11225,161517.11,2491179.04,8018998
11226,107583.96,1816151.33,12603250
11227,120281.12,2749197.73,15330484
11228,130371.92,3590305.22,19888089
11229,161591.77,2497712.95,4132079
11230,107741.17,1829568.18,5765988
11231,121611.33,2840835.43,7172606
11232,132265.32,3755361.79,8214685
11233,161541.98,2493897.85,6095542
11234,107655.79,1823262.48,8967499
11235,121033.33,2804352.93,11141893
11236,131444.57,3686625.2,14151853
11237,161448.06,2487146.36,8036793
11238,107504.9,1812211.21,12211265
11239,120029.93,2744066.39,15125331
11240,130124.33,3582668.87,19428939
11241,161452.46,2488474.53,5977069
11242,107509.14,1813707.03,8829870
11243,120193.45,2759861.64,11018173
11244,130408.46,3618531.43,13026320
11245,161403.12,2484664.32,7941172
11246,107423.73,1807394.4,12032998
11247,119622.02,2723911.38,14984841
11248,129589.06,3549897.15,18961330
11249,161358.52,2481721.72,7918528
11250,107359.1,1802685.26,12070638
11251,119196.73,2700042.44,15004221
11252,129088.81,3514636.04,18302363
11253,161308.84,2477910.81,9881793
11254,107273.16,1796360.58,15274708
11255,118630.91,2664493.46,18970993
11256,128268.88,3445993.67,24237949
11257,161584.12,2500411.57,2732388
11258,107782.72,1836190.47,3409144
11259,122648.63,2902725.37,3510270
11260,134032.14,3891442.84,3211264
11261,161534.85,2496602.51,4696250
11262,107696.78,1829847.18,6615896
11263,122064.35,2865777.6,7478055
11264,133212.57,3822757.89,9146197
11265,161441.1,2489856.29,6637217
11266,107546.42,1818825.25,9854900
11267,121050.9,2804684.58,11463876
11268,131891.07,3718718.68,14424362
11269,161301.59,2480612.89,8482487
11270,107314.6,1802958.29,12922493
11271,119636.11,2723971.96,15312191
11272,130035.28,3581973.93,19233982
11273,161093.95,2467356.31,10344767
11274,107004.01,1783174.67,15592353
11275,117997.69,2639934.72,18951622
11276,127932.14,3437630.07,23585180
11277,161237.26,2480145.6,5001722
11278,107377.77,1811577.46,6502723
11279,121012.22,2823033.37,7040401
11280,131707.13,3743316.19,7075303
11281,161187.12,2476324.26,6965514
11282,107291.9,1805256.98,9706219
11283,120438.07,2786787.63,11007822
11284,130886.01,3674553,13014047
11285,161093.94,2469587.08,8906717
11286,107141.89,1794236.23,12947331
11287,119439.41,2726773.13,14993908
11288,129565.79,3570582.76,18292161
11289,160954.4,2460346.96,10751364
11290,106910.09,1778382.12,16012380
11291,118047.7,2647595.41,18840799
11292,127712.11,3433997.73,23097773
11293,161028.8,2466875.51,6864378
11294,107067.57,1791805.81,9172708
11295,119355.31,2737541.73,10681105
11296,129603.6,3598910.88,11426012
11297,160979.17,2463050.03,8830403
11298,106981.87,1785488.48,12376362
11299,118790.19,2701979.81,14647738
11300,128784.81,3530304.63,17360985
11301,160885.15,2456309.61,10769909
11302,106831.06,1774435.39,15621958
11303,117807.94,2643111.95,18636259
11304,127463.17,3426281.42,22641798
11305,160890.09,2457646.74,8709561
11306,106835.71,1775944.36,12238544
11307,117966.33,2658453.12,14531965
11308,127748.83,3462216.46,16235644
11309,160840.03,2453828.79,10673227
11310,106750.15,1769629.37,15442926
11311,117410.69,2623523.29,18494600
11312,126929.72,3393600.17,22171975
11313,160795.82,2450877.74,10653388
11314,106685.32,1764919.93,15480042
11315,116995.03,2600249.75,18514223
11316,126429.71,3358355.44,21512310
11317,160746.37,2447071.58,12617113
11318,106599.53,1758607.31,18683545
11319,116442.16,2565604.13,22480787
11320,125609.81,3289709.07,27450090
11321,160880.17,2468454.5,2983158
11322,107482,1823320.53,3322101
11323,121857.03,2872678.74,3315729
11324,133283,3864340.66,2641788
11325,160830.58,2464651.61,4946305
11326,107396.07,1816994.25,6525753
11327,121275.72,2835912.6,7284787
11328,132462.78,3795616.83,8578023
11329,160736.91,2457908.04,6887352
11330,107246.07,1805967.73,9767640
11331,120267.44,2775124.25,11272116
11332,131142.3,3691632.64,13854800
11333,160597.71,2448668.76,8733170
11334,107014.39,1790111.6,12832943
11335,118862.5,2694916.69,15118946
11336,129286.27,3554863.85,18666048
11337,160389.89,2435419.43,10594853
11338,106703.74,1770328.1,15503949
11339,117237.53,2611546.84,18755556
11340,127183.89,3410567.88,23015730
11341,160042.5,2415163.76,12864098
11342,106299.38,1745760.65,18596557
11343,115694.27,2537799.7,22286071
11344,124862.38,3262690.05,26879990
11345,160318.41,2437657.92,5715551
11346,106807.68,1785516.2,6734070
