run_number,deaths,life_years_lost,vaccine_n
1,162146.76,2531260.34,0
2,108457.08,1874008.8,0
3,124987.59,3011225.52,0
4,136696.91,4048090.27,0
5,158821.95,2475256.76,1963817
6,99494.65,1729876.11,3203936
7,110805.9,2624600.33,3968176
8,132425.34,3878939.93,5936981
9,157529.01,2462618.07,1941574
10,102011.87,1757457.24,3241998
11,108288.91,2512544.06,3989013
12,131117.52,3824510.04,5280318
13,153725.51,2399103.74,3904741
14,92014.68,1595085.84,6445744
15,98677.94,2285122.74,7953417
16,126325.34,3641983.47,11213540
17,156656.18,2462561.49,1845062
18,101633.36,1755573.53,3065493
19,107164.11,2481727.51,3849262
20,130168.76,3787654.48,4810885
21,153160.1,2404085.53,3808605
22,91472.91,1591044.97,6270334
23,98106.89,2274174.09,7813687
24,125114.35,3595981.87,10746761
25,151770.64,2390611.01,3786120
26,93047.37,1601884.15,6307504
27,97709.13,2240483.73,7833532
28,123090.69,3521668.11,10092704
29,147694.75,2323080.78,5750512
30,80638.91,1397916.97,9510961
31,86525.2,1985439.24,11799797
32,117308.27,3312453.33,16028359
33,157272.51,2449656.76,1864102
34,101011.65,1743602.89,2671421
35,107518.39,2500086.15,3643083
36,129815.85,3784537.74,4350609
37,153746.52,2390376.68,3826401
38,90867.63,1579350.13,5875607
39,97363.98,2257668.86,7607750
40,124815.41,3595284.64,10290106
41,148608.06,2313642.82,5767790
42,81825.79,1417475.5,9120101
43,87517.26,2009110.68,11594032
44,117427.84,3321311.77,15564124
45,151084.11,2370544.56,3707691
46,92424.42,1595144.05,5737233
47,96897.83,2224983.75,7491292
48,121736.19,3478608.46,9164998
49,147309.57,2307610.16,5671229
50,80021.23,1392116.79,8940829
51,85598.76,1967949.86,11454699
52,115627.19,3258803.25,15096583
53,146074.87,2296868.38,5648915
54,76227.73,1310583.57,8978852
55,78573.26,1787038.13,11477580
56,112792.37,3161538.27,14437773
57,141632.82,2223568.77,7612352
58,37551.22,651824.56,12183359
59,41250.19,947088.29,15441038
60,105208.78,2905160.29,20374064
61,155084.48,2420502.97,2269378
62,102951,1763343.35,3092577
63,114559.7,2700164.68,3530542
64,130683.29,3813881.37,3864487
65,151436.58,2359236.5,4233146
66,93599.07,1612982.83,6297433
67,101486.15,2356655.38,7498325
68,125980.81,3634643.15,9800277
69,145830.14,2275041.72,6176323
70,85314.66,1464705.96,9541664
71,91863.9,2107789.11,11483393
72,119047.86,3375087.83,15077328
73,139387.38,2193304.79,8019447
74,71179.28,1220975.67,12603184
75,77135.48,1752238.38,15330618
76,108313.07,2999722.47,19889354
77,149806.49,2332486.55,4132690
78,94826.2,1622089.49,5766228
79,100071.24,2297325.11,7171793
80,122914.08,3527895.59,8214986
81,145907.62,2267149.56,6095712
82,84252.12,1451106.25,8968385
83,90629.69,2083200.64,11138195
84,117386.83,3327056.23,14151120
85,140232.13,2181952.2,8037242
86,73800.24,1265663.08,12212697
87,79376.7,1804602.43,15124372
88,108763.6,3020772.49,19427481
89,143081.81,2245513.28,5977074
90,84890.68,1451138.23,8829056
91,89079.14,2025308.18,11018260
92,113466.01,3185043.51,13026446
93,138868.04,2175517.81,7940468
94,71224.27,1227290.14,12033336
95,76714.29,1747133.79,14984727
96,106293.86,2940066.59,18961273
97,137629,2165107.17,7918106
98,54224.77,922016.17,12073930
99,54804.09,1238572.65,15004678
100,101881.84,2798175.3,18302191
101,132428.45,2079888.65,9881650
102,12749.61,219038.75,15274436
103,14349.17,326516.37,18971023
104,90827.36,2453519.69,24238363
105,155103.61,2417888.48,2732603
106,101819.5,1746555.78,3409250
107,113617.86,2679823.22,3512339
108,131391.4,3834328.44,3210466
109,151552.53,2358297.02,4696809
110,92519.98,1597481.94,6614095
111,100759.03,2343330.14,7476756
112,126857.99,3660389.95,9146103
113,146047.5,2275884.83,6637300
114,84289.53,1450475.01,9855213
115,91335.49,2100828.77,11463123
116,120169.05,3408364.03,14423674
117,139616.21,2194311.17,8481994
118,70526.4,1213578.61,12920541
119,76927.37,1753030.64,15310788
120,109970.57,3047894.48,19233986
121,132872.4,2084368.76,10344692
122,12205.6,210602.51,15591873
123,13921.43,318054.02,18950432
124,94133.78,2543654.65,23583923
125,147811.04,2303642.02,5002336
126,96127.41,1633816.27,6502607
127,104129.99,2406246.11,7041015
128,124961.62,3591270.39,7075694
129,143918.56,2238503.47,6965155
130,86547.68,1480530.07,9706531
131,94095.38,2165180.68,11010143
132,119991.36,3407917.8,13015250
133,137821.85,2146758.61,8906575
134,77516.09,1320421.33,12947081
135,84423.18,1923860.52,14993397
136,112365.53,3131555.26,18288115
137,130806.55,2056860.83,10751418
138,59844.86,1018299.09,16013184
139,66485.99,1500538.88,18844124
140,99563.7,2702933.91,23102636
141,142157.46,2209782.19,6864528
142,87229.63,1480467.96,9174365
143,92804.59,2115222.34,10681411
144,116405.22,3285886.47,11425276
145,137963.93,2139786.68,8827878
146,76415.8,1306438.49,12376354
147,83136.31,1898459.74,14648960
148,110530.8,3079919.44,17362204
149,131714.8,2045756.04,10769183
150,64426.49,1096059.01,15618013
151,70372.42,1588686.35,18634053
152,100608.61,2741808.12,22637417
153,134886.27,2114902.02,8710062
154,75514.79,1280639.73,12238294
155,79980.98,1804704.71,14528237
156,105334.42,2900069.67,16235748
