run_number,deaths,life_years_lost,vaccine_n
5918,3923.67,64818.24,22485287
5919,5597.99,124185.11,25211634
5920,2684.72,66789.74,27963924
5921,82156.53,1228121.71,12784362
5922,55818.63,903929.2,15645509
5923,61333.19,1339533.13,17056117
5924,80411.36,2065110.17,16290761
5925,72972.31,1082373.04,14747389
5926,43174.86,709012.58,18850556
5927,49753.25,1095113.01,21020350
5928,69715.59,1756341.76,22229540
5929,40108.04,593021.78,16688521
5930,14662.04,238821.99,22091246
5931,19048.31,417952.84,25005799
5932,6883.97,167685.04,27504896
5933,62605.98,956693.12,14629652
5934,21906.5,356495,18711084
5935,25113.76,548665.25,20899791
5936,4304.94,106504.4,21102313
5937,48099.6,731284.81,16592391
5938,5912.42,98916.14,21914791
5939,8063.63,180646.79,24866442
5940,1553.5,40075.5,27037283
5941,976.53,15866.54,16570090
5942,597.85,10561.29,21952573
5943,649.21,14670.61,24885955
5944,1031.87,27709.16,26378695
5945,648.83,10778.27,18533551
5946,556.54,9927.64,25156510
5947,612.21,13932.29,28852530
5948,970.08,26262.78,32314181
5949,141935.46,2172470.97,2821760
5950,99971.03,1691609.25,2332166
5951,109114.76,2525492.09,2543474
5952,127117.55,3676236.52,1895894
5953,137072.95,2093125.65,4785474
5954,86829.19,1483218.37,5535977
5955,93987.26,2149189.5,6509833
5956,120707.58,3430070.02,7833404
5957,127600.54,1952628.24,6726865
5958,74677.47,1269067.32,8779568
5959,81155.36,1831120.74,10495447
5960,110613.19,3059575.11,13109975
5961,116132.24,1802361.25,8571790
5962,48849.76,830829.99,11846539
5963,55323.16,1234779.17,14345871
5964,93950.57,2509068.84,17920037
5965,99476.34,1541631.07,10436597
5966,940.49,16527.89,14514152
5967,1040.95,23360.03,17982826
5968,48321.73,1237525.93,22269951
5969,61394.46,960457.02,12706042
5970,654.19,11597.7,17606364
5971,727.75,16432.84,21517535
5972,4866.95,122438.95,26134073
5973,22552.34,355922.35,15435369
5974,586.79,10445.82,21015318
5975,650.69,14755.92,25022961
5976,1351.54,35548.25,29344189
5977,1082.75,17573.39,18418422
5978,568.9,10118.63,24337367
5979,627.75,14236.81,28337868
5980,995.51,26853.78,31985539
5981,117776.73,1759579.63,5759188
5982,86926.76,1444230.8,5483074
5983,92920.68,2083376.72,5600634
5984,117374.18,3296242.9,4120375
5985,112097.56,1669374.02,7722562
5986,73476.15,1234267.74,8687456
5987,81193.64,1826703.04,9567260
5988,110457.57,3042630.85,10056130
5989,99810.07,1489648.93,9663957
5990,60240.19,1006324.33,11928992
5991,67146.99,1490062.5,13553298
5992,99078.07,2644961.63,15333424
5993,77456.04,1181633.36,11508938
5994,24238.84,406684.36,14994239
5995,30460.98,675830.65,17399206
5996,74201.07,1897389.24,20144002
5997,11173.69,172532.68,13371520
5998,618.22,10999.2,17665138
5999,686.25,15537.7,21039918
6000,5655.16,139728.91,24494094
6001,1551.3,24452.57,15639970
6002,571.15,10174.29,20757384
6003,630.56,14300.32,24570370
6004,1204.72,31861.74,28359381
6005,701.76,11506.01,18372284
6006,551.78,9837.16,24166644
6007,607.06,13787.73,28080062
6008,976.51,26363.36,31572239
6009,93388.36,1382450.68,8743041
6010,78820.19,1284295.83,8805526
6011,84724.86,1870895.25,8914556
6012,108031.61,2941681.36,6762279
6013,87308.11,1287355.11,10705198
6014,65727.85,1083350.19,12009755
6015,73220.63,1624414.72,12881016
6016,100833.15,2691516.63,12698347
6017,70934.53,1048406.67,12646015
6018,52220.27,855734.14,15250418
6019,58822.99,1287336.91,16867795
6020,87863.94,2264687.83,17975144
6021,22319.27,345809.03,14490543
6022,13285.66,219344.86,18315840
6023,17782.1,392262.55,20713890
6024,35541.36,867763.81,22789934
6025,704.34,11546.08,16353047
6026,576.41,10256.22,20987175
6027,635.06,14396.43,24355505
6028,1316.64,34302.09,27135899
6029,539.43,9058.79,18622532
6030,555.89,9892.35,24079226
6031,610.68,13849.76,27885333
6032,961.23,25959.79,31003603
6033,82285.16,1211182.42,11473321
6034,69973.84,1125525.42,12214153
6035,76187.64,1665203.7,12425213
6036,99084.72,2621426.31,9972811
6037,76306.53,1118108.32,13437561
6038,57662.86,938989.7,15420789
6039,65238.06,1434689.68,16390854
6040,91815.32,2382200.84,15909037
6041,59887.66,879524.65,15378265
6042,44139.87,714178.53,18659884
6043,50620.06,1098121.6,20376969
6044,76446.56,1909630.35,21185303
6045,10956.48,170624.37,17222913
6046,5789.91,94974.76,21726311
6047,8156.75,179646.46,24224285
6048,6653.61,159059.88,25995669
6049,553.34,9263.01,19089191
