run_number,strategy,income_group,target_group,age_target,coverage
1,strategy1_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.11116
2,strategy1_cov2,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.11116
3,strategy1_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.11116
4,strategy1_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.11116
5,strategy2_cov2,HIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0.52189
6,strategy2_cov2,UMIC,old_middle,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0.8
7,strategy2_cov2,LMIC,old_middle,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0.8
8,strategy2_cov2,LIC,old_middle,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0.8
9,strategy2_cov2,UMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0.04934
10,strategy2_cov2,LMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0.10118
11,strategy2_cov2,LIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0.15205
12,strategy4_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.70117
13,strategy5_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.23754
14,strategy5_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.23754
15,strategy6_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.51433
16,strategy6_cov2,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.1922
17,strategy6_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.1922
18,strategy6_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.11116
19,strategy3_cov2,HIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0.8
20,strategy3_cov2,UMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0.8
21,strategy3_cov2,LMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0.8
22,strategy3_cov2,LIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0.8
23,strategy3_cov2,HIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0.12349
24,strategy3_cov2,UMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0.05502
25,strategy3_cov2,LMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0.03279
26,strategy3_cov2,LIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0.02035
27,strategy1_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
28,strategy1_cov2,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
29,strategy1_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
30,strategy1_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
31,strategy2_cov2,HIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0
32,strategy2_cov2,UMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0
33,strategy2_cov2,LMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0
34,strategy2_cov2,LIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0
35,strategy2_cov2,UMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0
36,strategy2_cov2,LMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0
37,strategy2_cov2,LIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0
38,strategy4_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
39,strategy5_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
40,strategy5_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
41,strategy6_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
42,strategy6_cov2,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
43,strategy6_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
44,strategy6_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0
45,strategy3_cov2,HIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0
46,strategy3_cov2,UMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0
47,strategy3_cov2,LMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0
48,strategy3_cov2,LIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,0
