country_name,partition_size,country_code,income_group
Aruba,106314,ABW,HIC
Andorra,77142,AND,HIC
United Arab Emirates,9770529,ARE,HIC
Antigua and Barbuda,97118,ATG,HIC
Australia,25364307,AUS,HIC
Austria,8877067,AUT,HIC
Belgium,11484055,BEL,HIC
Bahrain,1641172,BHR,HIC
"Bahamas, The",389482,BHS,HIC
Bermuda,63918,BMU,HIC
Barbados,287025,BRB,HIC
Brunei Darussalam,433285,BRN,HIC
Canada,37589262,CAN,HIC
Switzerland,8574832,CHE,HIC
Channel Islands,172259,CHI,HIC
Chile,18952038,CHL,HIC
Curacao,157538,CUW,HIC
Cayman Islands,64948,CYM,HIC
Cyprus,1198575,CYP,HIC
Czech Republic,10669709,CZE,HIC
Germany,83132799,DEU,HIC
Denmark,5818553,DNK,HIC
Spain,47076781,ESP,HIC
Estonia,1326590,EST,HIC
Finland,5520314,FIN,HIC
France,67059887,FRA,HIC
Faroe Islands,48678,FRO,HIC
United Kingdom,66834405,GBR,HIC
Gibraltar,33701,GIB,HIC
Greece,10716322,GRC,HIC
Greenland,56225,GRL,HIC
Guam,167294,GUM,HIC
"Hong Kong SAR, China",7507400,HKG,HIC
Croatia,4067500,HRV,HIC
Hungary,9769949,HUN,HIC
Isle of Man,84584,IMN,HIC
Ireland,4941444,IRL,HIC
Iceland,361313,ISL,HIC
Israel,9053300,ISR,HIC
Italy,60297396,ITA,HIC
Japan,126264931,JPN,HIC
St. Kitts and Nevis,52823,KNA,HIC
"Korea, Rep.",51709098,KOR,HIC
Kuwait,4207083,KWT,HIC
Liechtenstein,38019,LIE,HIC
Lithuania,2786844,LTU,HIC
Luxembourg,619896,LUX,HIC
Latvia,1912789,LVA,HIC
"Macao SAR, China",640445,MAC,HIC
St. Martin (French part),38002,MAF,HIC
Monaco,38964,MCO,HIC
Malta,502653,MLT,HIC
Northern Mariana Islands,57216,MNP,HIC
Mauritius,1265711,MUS,HIC
New Caledonia,287800,NCL,HIC
Netherlands,17332850,NLD,HIC
Norway,5347896,NOR,HIC
Nauru,12581,NRU,HIC
New Zealand,4917000,NZL,HIC
Oman,4974986,OMN,HIC
Panama,4246439,PAN,HIC
Palau,18008,PLW,HIC
Poland,37970874,POL,HIC
Puerto Rico,3193694,PRI,HIC
Portugal,10269417,PRT,HIC
French Polynesia,279287,PYF,HIC
Qatar,2832067,QAT,HIC
Romania,19356544,ROU,HIC
Saudi Arabia,34268528,SAU,HIC
Singapore,5703569,SGP,HIC
San Marino,33860,SMR,HIC
Slovak Republic,5454073,SVK,HIC
Slovenia,2087946,SVN,HIC
Sweden,10285453,SWE,HIC
Sint Maarten (Dutch part),40733,SXM,HIC
Seychelles,97625,SYC,HIC
Turks and Caicos Islands,38191,TCA,HIC
Trinidad and Tobago,1394973,TTO,HIC
Uruguay,3461734,URY,HIC
United States,328239523,USA,HIC
British Virgin Islands,30030,VGB,HIC
Virgin Islands (U.S.),106631,VIR,HIC
Afghanistan,38041754,AFG,LIC
Burundi,11530580,BDI,LIC
Burkina Faso,20321378,BFA,LIC
Central African Republic,4745185,CAF,LIC
"Congo, Dem. Rep.",86790567,COD,LIC
Eritrea,0,ERI,LIC
Ethiopia,112078730,ETH,LIC
Guinea,12771246,GIN,LIC
"Gambia, The",2347706,GMB,LIC
Guinea-Bissau,1920922,GNB,LIC
Haiti,11263077,HTI,LIC
Liberia,4937374,LBR,LIC
Madagascar,26969307,MDG,LIC
Mali,19658031,MLI,LIC
Mozambique,30366036,MOZ,LIC
Malawi,18628747,MWI,LIC
Niger,23310715,NER,LIC
"Korea, Dem. People’s Rep.",25666161,PRK,LIC
Rwanda,12626950,RWA,LIC
Sudan,42813238,SDN,LIC
Sierra Leone,7813215,SLE,LIC
Somalia,15442905,SOM,LIC
South Sudan,11062113,SSD,LIC
Syrian Arab Republic,17070135,SYR,LIC
Chad,15946876,TCD,LIC
Togo,8082366,TGO,LIC
Tajikistan,9321018,TJK,LIC
Uganda,44269594,UGA,LIC
"Yemen, Rep.",29161922,YEM,LIC
Angola,31825295,AGO,LMIC
Benin,11801151,BEN,LMIC
Bangladesh,163046161,BGD,LMIC
Bolivia,11513100,BOL,LMIC
Bhutan,763092,BTN,LMIC
Cote d'Ivoire,25716544,CIV,LMIC
Cameroon,25876380,CMR,LMIC
"Congo, Rep.",5380508,COG,LMIC
Comoros,850886,COM,LMIC
Cabo Verde,549935,CPV,LMIC
Djibouti,973560,DJI,LMIC
Algeria,43053054,DZA,LMIC
"Egypt, Arab Rep.",100388073,EGY,LMIC
"Micronesia, Fed. Sts.",113815,FSM,LMIC
Ghana,30417856,GHA,LMIC
Honduras,9746117,HND,LMIC
India,1366417754,IND,LMIC
Kenya,52573973,KEN,LMIC
Kyrgyz Republic,6456900,KGZ,LMIC
Cambodia,16486542,KHM,LMIC
Kiribati,117606,KIR,LMIC
Lao PDR,7169455,LAO,LMIC
Sri Lanka,21803000,LKA,LMIC
Lesotho,2125268,LSO,LMIC
Morocco,36471769,MAR,LMIC
Moldova,2657637,MDA,LMIC
Myanmar,54045420,MMR,LMIC
Mongolia,3225167,MNG,LMIC
Mauritania,4525696,MRT,LMIC
Nigeria,200963599,NGA,LMIC
Nicaragua,6545502,NIC,LMIC
Nepal,28608710,NPL,LMIC
Pakistan,216565318,PAK,LMIC
Philippines,108116615,PHL,LMIC
Papua New Guinea,8776109,PNG,LMIC
West Bank and Gaza,4685306,PSE,LMIC
Senegal,16296364,SEN,LMIC
Solomon Islands,669823,SLB,LMIC
El Salvador,6453553,SLV,LMIC
Sao Tome and Principe,215056,STP,LMIC
Eswatini,1148130,SWZ,LMIC
Timor-Leste,1293119,TLS,LMIC
Tunisia,11694719,TUN,LMIC
Tanzania,58005463,TZA,LMIC
Ukraine,44385155,UKR,LMIC
Uzbekistan,33580650,UZB,LMIC
Vietnam,96462106,VNM,LMIC
Vanuatu,299882,VUT,LMIC
Zambia,17861030,ZMB,LMIC
Zimbabwe,14645468,ZWE,LMIC
Albania,2854191,ALB,UMIC
Argentina,44938712,ARG,UMIC
Armenia,2957731,ARM,UMIC
American Samoa,55312,ASM,UMIC
Azerbaijan,10023318,AZE,UMIC
Bulgaria,6975761,BGR,UMIC
Bosnia and Herzegovina,3301000,BIH,UMIC
Belarus,9466856,BLR,UMIC
Belize,390353,BLZ,UMIC
Brazil,211049527,BRA,UMIC
Botswana,2303697,BWA,UMIC
China,1397715000,CHN,UMIC
Colombia,50339443,COL,UMIC
