pop_2020,country,0-4,05-Sep,Oct-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84
441539,malta_HIC,4.908739658,4.853025441,4.612276605,4.656893276,5.673338029,6.831106652,7.4573254,7.34385864,7.055548887,6.407814485,5.670167301,6.38131626,6.824085755,6.239312949,6.334661264,3.89455971,4.855969688
112519,grenada_UMIC,8.009313983,8.104409033,7.663594593,6.677983274,7.731138741,8.523005004,8.305264,7.87866938,5.831015206,5.60794177,5.258667425,5.535065189,5.081808406,3.428754255,2.482247443,1.773033888,2.108088412
6624554,nicaragua_LMIC,9.916773265,9.966014316,9.617855028,9.102816582,8.826405521,8.774779404,8.28824099,7.644182537,6.358088409,5.160226636,4.134633064,3.523542868,3.008957282,2.255578262,1.259118727,1.01276252,1.15002459
27691019,madagascar_LIC,14.84028811,13.19384455,12.02841253,10.8776712,9.662858561,8.027844696,6.607694719,5.565595112,4.745477225,3.877744622,3.100163992,2.460357273,1.911359781,1.393711802,0.811533877,0.488031878,0.40741007
