pop_2019,income_group,children,middle,old
1212261796,HIC,14.4,64.3,21.3
2855862789,UMIC,23.8,66.4,9.8
2913363391,LMIC,29.5,64.8,5.7
664957848,LIC,40.1,56.8,3.1
