target,age_target
17,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1
16,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1
15,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1
14,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1
13,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1
12,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1
11,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1
10,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1
9,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1
8,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1
7,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1
6,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1
5,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1
4,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1
3,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1
2,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1
1,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1
