strategy,income_group,target_group,age_target, doses_available ,coverage_children,coverage_middle,coverage_old
strategy1_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,134758363.60,0.80,0.80,0.80
strategy1_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,317465581.59,0.80,0.80,0.80
strategy1_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,323857507.05,0.80,0.80,0.80
strategy1_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,73918547.76,0.80,0.80,0.80
strategy2_cov1,HIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,134758363.60,0.00,0.00,0.80
strategy2_cov1,UMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,317465581.59,0.00,0.05,0.80
strategy2_cov1,LMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,323857507.05,0.00,0.10,0.80
strategy2_cov1,LIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,73918547.76,0.00,0.15,0.80
strategy3_cov1,HIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,302830559.85,0.00,0.12,0.80
strategy3_cov1,UMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,328236664.49,0.00,0.06,0.80
strategy3_cov1,LMIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,194757051.76,0.00,0.03,0.80
strategy3_cov1,LIC,old_middle,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,24175723.90,0.00,0.02,0.80
strategy4_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,850000000.00,0.80,0.80,0.80
strategy4_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.00,0.80,0.80,0.80
strategy4_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.00,0.80,0.80,0.80
strategy4_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.00,0.80,0.80,0.80
strategy5_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.00,0.80,0.80,0.80
strategy5_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.00,0.80,0.80,0.80
strategy5_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,692044877.00,0.80,0.80,0.80
strategy5_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,157955123.00,0.80,0.80,0.80
strategy6_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,623508363.60,0.80,0.80,0.80
strategy6_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,548885847.02,0.80,0.80,0.80
strategy6_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,559937241.63,0.80,0.80,0.80
